season,id,name,abbrev,owner_name,email,division,salaryCapAmount,waiverSortOrder,lastVisit,country,state,city,zip,phone,cell,cell2,address,future_draft_picks,logo,icon,stadium,sound,mail_event,time_zone,use_advanced_editor,username,play_audio,twitterUsername,division_name,conference_id,conference_name,draft_picks_2026_count,draft_picks_2027_count,total_future_picks,salaryCapAmount_numeric,waiverSortOrder_numeric
2018,1,Dallas Cowboys,DAL,,,0,,9,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0001.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0001.jpg,,,,,,,,,East,0,NFC,0,0,0,,9
2018,2,New York Giants,NYG,,,0,,7,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0002.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0002.jpg,,,,,,,,,East,0,NFC,0,0,0,,7
2018,3,Philadelphia Eagles,PHI,,,0,,25,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0003.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0003.jpg,,,,,,,,,East,0,NFC,0,0,0,,25
2018,4,Washington Redskins,WAS,,,0,,20,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0004.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0004.jpg,,,,,,,,,East,0,NFC,0,0,0,,20
2018,5,Chicago Bears,CHI,,,1,,30,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0005.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0005.jpg,,,,,,,,,North,0,NFC,0,0,0,,30
2018,6,Detroit Lions,DET,,,1,,28,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0006.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0006.jpg,Ford Field,https://www46.myfantasyleague.com/fflnetdynamic2016/60206_franchise_sound0006.mp3,,,,,,,North,0,NFC,0,0,0,,28
2018,7,Green Bay Packers,GBP,,,1,,3,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0007.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0007.jpg,,,,,,,,,North,0,NFC,0,0,0,,3
2018,8,Minnesota Vikings,MIN,,,1,,10,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0008.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0008.jpg,,,,,,,,,North,0,NFC,0,0,0,,10
2018,9,Atlanta Falcons,ATL,,,2,,19,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0009.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0009.jpg,,http://soundbible.com/1517-Screaming-Hawk.html,,,,,,,South,0,NFC,0,0,0,,19
2018,10,Carolina Panthers,CAR,,,2,,15,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0010.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0010.jpg,,,,,,,,,South,0,NFC,0,0,0,,15
2018,11,New Orleans Saints,NOS,,,2,,26,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0011.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0011.jpg,Mercedes-Benz Superdome,,,,,,,,South,0,NFC,0,0,0,,26
2018,12,Tampa Bay Buccaneers,TBB,,,2,,27,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0012.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0012.jpg,,,,,,,,,South,0,NFC,0,0,0,,27
2018,13,Arizona Cardinals,ARI,,,3,,5,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0013.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0013.jpg,,,,,,,,,West,0,NFC,0,0,0,,5
2018,14,Los Angeles Rams,LAR,,,3,,22,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0016.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0016.jpg,,http://www.thesoundarchive.com/play-wav-files.asp?sound=starwars/chewy_roar.wav,,,,,,,West,0,NFC,0,0,0,,22
2018,15,San Francisco 49ers,SFO,,,3,,1,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0014.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0014.jpg,,,,,,,,,West,0,NFC,0,0,0,,1
2018,16,Seattle Seahawks,SEA,,,3,,12,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0015.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0015.jpg,,,,,,,,,West,0,NFC,0,0,0,,12
2018,17,Buffalo Bills,BUF,,,4,,29,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0017.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0017.jpg,,,,,,,,,East,1,AFC,0,0,0,,29
2018,18,Miami Dolphins,MIA,,,4,,8,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0018.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0018.jpg,,,,,,,,,East,1,AFC,0,0,0,,8
2018,19,New England Patriots,NEP,,,4,,16,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0019.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0019.jpg,,,,,,,,,East,1,AFC,0,0,0,,16
2018,20,New York Jets,NYJ,,,4,,13,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0020.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0020.jpg,,https://www45.myfantasyleague.com/fflnetdynamic2017/19611_franchise_sound0009.mp3,,,,,,,East,1,AFC,0,0,0,,13
2018,21,Baltimore Ravens,BAL,,,5,,31,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0021.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0021.jpg,,http://soundbible.com/422-Raven-Sound-Clip.html,,,,,,,North,1,AFC,0,0,0,,31
2018,22,Cincinnati Bengals,CIN,,,5,,17,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0022.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0022.jpg,,,,,,,,,North,1,AFC,0,0,0,,17
2018,23,Cleveland Browns,CLE,,,5,,14,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0023.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0023.jpg,,,,,,,,,North,1,AFC,0,0,0,,14
2018,24,Pittsburgh Steelers,PIT,,,5,,6,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0024.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0024.jpg,,http://www.steelergridiron.com/fanzone/audio/29_Unknown%20-%20Steelers%20Nation.mp3,,,,,,,North,1,AFC,0,0,0,,6
2018,25,Houston Texans,HOU,,,6,,2,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0025.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0025.jpg,Mexico,https://youtu.be/tKnG06-oYcg?t=1s,,,,,,,South,1,AFC,0,0,0,,2
2018,26,Indianapolis Colts,IND,,,6,,4,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0026.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0026.jpg,,,,,,,,,South,1,AFC,0,0,0,,4
2018,27,Jacksonville Jaguars,JAC,,,6,,24,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0027.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0027.jpg,,,,,,,,,South,1,AFC,0,0,0,,24
2018,28,Tennessee Titans,TEN,,,6,,18,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0028.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0028.jpg,,,,,,,,,South,1,AFC,0,0,0,,18
2018,29,Denver Broncos,DEN,,,7,,11,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0029.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0029.jpg,,,,,,,,,West,1,AFC,0,0,0,,11
2018,30,Kansas City Chiefs,KCC,,,7,,32,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0030.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0030.jpg,,,,,,,,,West,1,AFC,0,0,0,,32
2018,31,Oakland Raiders,OAK,,,7,,23,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0031.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0031.jpg,,,,,,,,,West,1,AFC,0,0,0,,23
2018,32,Los Angeles Chargers,LAC,,,7,,21,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0032.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0032.jpg,,,,,,,,,West,1,AFC,0,0,0,,21
2019,1,Dallas Cowboys,DAL,,,0,,16,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0001.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0001.jpg,,,,,,,,,East,0,NFC,0,0,0,,16
2019,2,New York Giants,NYG,,,0,,5,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0002.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0002.jpg,,,,,,,,,East,0,NFC,0,0,0,,5
2019,3,Philadelphia Eagles,PHI,,,0,,19,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0003.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0003.jpg,,,,,,,,,East,0,NFC,0,0,0,,19
2019,4,Washington Redskins,WAS,,,0,,14,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0004.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0004.jpg,,,,,,,,,East,0,NFC,0,0,0,,14
2019,5,Chicago Bears,CHI,,,1,,29,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0005.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0005.jpg,,,,,,,,,North,0,NFC,0,0,0,,29
2019,6,Detroit Lions,DET,,,1,,15,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0006.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0006.jpg,Ford Field,https://www46.myfantasyleague.com/fflnetdynamic2016/60206_franchise_sound0006.mp3,,,,,,,North,0,NFC,0,0,0,,15
2019,7,Green Bay Packers,GBP,,,1,,3,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0007.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0007.jpg,,,,,,,,,North,0,NFC,0,0,0,,3
2019,8,Minnesota Vikings,MIN,,,1,,26,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0008.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0008.jpg,,,,,,,,,North,0,NFC,0,0,0,,26
2019,9,Atlanta Falcons,ATL,,,2,,1,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0009.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0009.jpg,,http://soundbible.com/1517-Screaming-Hawk.html,,,,,,,South,0,NFC,0,0,0,,1
2019,10,Carolina Panthers,CAR,,,2,,32,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0010.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0010.jpg,,,,,,,,,South,0,NFC,0,0,0,,32
2019,11,New Orleans Saints,NOS,,,2,,25,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0011.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0011.jpg,Mercedes-Benz Superdome,,,,,,,,South,0,NFC,0,0,0,,25
2019,12,Tampa Bay Buccaneers,TBB,,,2,,24,,,,,,,,,,,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_logo0012.jpg,https://www43.myfantasyleague.com/fflnetdynamic2014/37677_franchise_icon0012.jpg,,,,,,,,,South,0,NFC,0,0,0,,24
