salary,id,contractYear,contractInfo,conference,status
,16168,1,2025 UFA,0,
,12155,1,2025 UFA,0,
,16305,1,2025 UFA,0,
,14624,1,2025 UFA,0,
,16772,1,2025 UFA,0,
,14184,1,2025 UFA,0,
,16735,1,2025 UFA,0,
,13230,1,2025 UFA,0,
,13826,1,2025 UFA,0,
,13275,1,2025 UFA,0,
,15371,1,2025 UFA,0,
,16291,1,2025 UFA,0,
,16474,1,2025 UFA,0,
,12181,1,2025 UFA,0,
,13308,1,2025 UFA,0,
,14811,1,2025 UFA,0,
,17369,1,2025 UFA,0,
,14799,1,2025 UFA,0,
,17292,1,2025 UFA,0,
,17258,1,2025 UFA,0,
,13753,1,2025 UFA,0,
,13730,1,2025 UFA,0,
,12233,1,2025 UFA,0,
,16066,1,2025 UFA,0,
,16746,1,2025 UFA,0,
,13246,1,2025 UFA,0,
,12621,1,2025 UFA,0,
,16219,1,2025 UFA,0,
,16879,1,2025 UFA,0,
,13879,1,2025 UFA,0,
,14236,1,2025 UFA,0,
,12308,1,2025 UFA,0,
,16942,1,2025 UFA,0,
,15903,1,2025 UFA,0,
,15676,1,2025 UFA,0,
,16872,1,2025 UFA,0,
,10814,1,2025 UFA,0,
,16782,1,2025 UFA,0,
,17432,1,2025 UFA,0,
,12715,1,2025 UFA,0,
,15911,1,2025 UFA,0,
,15879,1,2025 UFA,0,
,17276,1,2025 UFA,0,
,13818,1,2025 UFA,0,
,14906,1,2025 UFA,0,
,15829,1,2025 UFA,0,
,15301,1,2025 UFA,0,
,15777,1,2025 UFA,0,
,16371,1,2025 UFA,0,
,15765,1,2025 UFA,0,
,12083,1,2025 UFA,0,
,13781,1,2025 UFA,0,
,16029,1,2025 UFA,0,
,16037,1,2025 UFA,0,
,15049,1,2025 UFA,0,
,14548,1,2025 UFA,0,
,17093,1,2025 UFA,0,
,13980,1,2025 UFA,0,
,15718,1,2025 UFA,0,
,16384,1,2025 UFA,0,
,16611,1,2025 UFA,0,
,16836,1,2025 UFA,0,
,15000,1,2025 UFA,0,
,16139,1,2025 UFA,0,
,16637,1,2025 UFA,0,
,13706,1,2025 UFA,0,
,17443,1,2025 UFA,0,locked
,14263,1,2025 UFA,0,
,15671,1,2025 UFA,0,
,16255,1,2025 UFA,0,
,17436,1,2025 UFA,0,
,11151,1,2025 UFA,0,
,15082,1,2025 UFA,0,
,16328,1,2025 UFA,0,
,13201,1,2025 UFA,0,
,15915,1,2025 UFA,0,
,17216,1,2025 UFA,0,
,12075,1,2025 UFA,0,
,17323,1,2025 UFA,0,
,17020,1,2025 UFA,0,locked
,15348,1,2025 UFA,0,
,14983,1,2025 UFA,0,
,17203,1,2025 UFA,0,
,16962,1,2025 UFA,0,
,15344,1,2025 UFA,0,
,17015,1,2025 UFA,0,
,17400,1,2025 UFA,0,
,16322,1,2025 UFA,0,
,16876,1,2025 UFA,0,
,13125,1,2025 UFA,0,
,14319,1,2025 UFA,0,
,11679,1,2025 UFA,0,
,16023,1,2025 UFA,0,
,15758,1,2025 UFA,0,
,16646,1,2025 UFA,0,
,15985,1,2025 UFA,0,
,14310,1,2025 UFA,0,
,16202,1,2025 UFA,0,
,12718,1,2025 UFA,0,
,15873,1,2025 UFA,0,
,10514,1,2025 UFA,0,
,16289,1,2025 UFA,0,
,16153,1,2025 UFA,0,
,13775,1,2025 UFA,0,
,17307,1,2025 UFA,0,
,17260,1,2025 UFA,0,
,16338,1,2025 UFA,0,
,13638,1,2025 UFA,0,
,12699,1,2025 UFA,0,
,16865,1,2025 UFA,0,
,17257,1,2025 UFA,0,
,16288,1,2025 UFA,0,
,15973,1,2025 UFA,0,
,12292,1,2025 UFA,0,
,16054,1,2025 UFA,0,
,16499,1,2025 UFA,0,
,14202,1,2025 UFA,0,
,17299,1,2025 UFA,0,
,14552,1,2025 UFA,0,
,16075,1,2025 UFA,0,
,13926,1,2025 UFA,0,
,16393,1,2025 UFA,0,
,15460,1,2025 UFA,0,
,13869,1,2025 UFA,0,
,16556,1,2025 UFA,0,
,15246,1,2025 UFA,0,
,15892,1,2025 UFA,0,
,13868,1,2025 UFA,0,
,15854,1,2025 UFA,0,
,13256,1,2025 UFA,0,
,16770,1,2025 UFA,0,
,14286,1,2025 UFA,0,
,12650,1,2025 UFA,0,
,13873,1,2025 UFA,0,
,17010,1,2025 UFA,0,
,12750,1,2025 UFA,0,
,16820,1,2025 UFA,0,
,16882,1,2025 UFA,0,
,5848,1,2025 UFA,0,
,16336,1,2025 UFA,0,
,16656,1,2025 UFA,0,
,13378,1,2025 UFA,0,
,16261,1,2025 UFA,0,
,16056,1,2025 UFA,0,
,17263,1,2025 UFA,0,
,11640,1,2025 UFA,0,
,15462,1,2025 UFA,0,
,17268,1,2025 UFA,0,
,17228,1,2025 UFA,0,
,15449,1,2025 UFA,0,
,16816,1,2025 UFA,0,
,16387,1,2025 UFA,0,
,17091,1,2025 UFA,0,
,16364,1,2025 UFA,0,
,16324,1,2025 UFA,0,
,17001,1,2025 UFA,0,
,16976,1,2025 UFA,0,
,17282,1,2025 UFA,0,
,17158,1,2025 UFA,0,
,15412,1,2025 UFA,0,
,15953,1,2025 UFA,0,
,15292,1,2025 UFA,0,
,15447,1,2025 UFA,0,
,16118,1,2025 UFA,0,
,15933,1,2025 UFA,0,
,13994,1,2025 UFA,0,
,17092,1,2025 UFA,0,
,16271,1,2025 UFA,0,
,15423,1,2025 UFA,0,
,15356,1,2025 UFA,0,
,16851,1,2025 UFA,0,
,16423,1,2025 UFA,0,
,17247,1,2025 UFA,0,
,13695,1,2025 UFA,0,
,14875,1,2025 UFA,0,
,15177,1,2025 UFA,0,
,15248,1,2025 UFA,0,
,12758,1,2025 UFA,0,
,17358,1,2025 UFA,0,
,16834,1,2025 UFA,0,
,14942,1,2025 UFA,0,
,13750,1,2025 UFA,0,
,16337,1,2025 UFA,0,
,17335,1,2025 UFA,0,
,12738,1,2025 UFA,0,
,16632,1,2025 UFA,0,
,12325,1,2025 UFA,0,
