contractInfo,id,salary,contractYear,conference,status
2025 UFA,16168,,1,0,nan
2025 UFA,12155,,1,0,nan
2025 UFA,16305,,1,0,nan
2025 UFA,14624,,1,0,nan
2025 UFA,16772,,1,0,nan
2025 UFA,14184,,1,0,nan
2025 UFA,16735,,1,0,nan
2025 UFA,13230,,1,0,nan
2025 UFA,13826,,1,0,nan
2025 UFA,13275,,1,0,nan
2025 UFA,15371,,1,0,nan
2025 UFA,16014,,1,0,nan
2025 UFA,16291,,1,0,nan
2025 UFA,16474,,1,0,nan
2025 UFA,12181,,1,0,nan
2025 UFA,13308,,1,0,nan
2025 UFA,14811,,1,0,nan
2025 UFA,17369,,1,0,nan
2025 UFA,14799,,1,0,nan
2025 UFA,17292,,1,0,nan
2025 UFA,17258,,1,0,nan
2025 UFA,13753,,1,0,nan
2025 UFA,17154,,1,0,nan
2025 UFA,13730,,1,0,nan
2025 UFA,12233,,1,0,nan
2025 UFA,16066,,1,0,nan
2025 UFA,16746,,1,0,nan
2025 UFA,13246,,1,0,nan
2025 UFA,12621,,1,0,nan
2025 UFA,16219,,1,0,nan
2025 UFA,16879,,1,0,nan
2025 UFA,13879,,1,0,nan
2025 UFA,17061,,1,0,nan
2025 UFA,14236,,1,0,nan
2025 UFA,12308,,1,0,nan
2025 UFA,16942,,1,0,nan
2025 UFA,15903,,1,0,nan
2025 UFA,15676,,1,0,nan
2025 UFA,16872,,1,0,nan
2025 UFA,16782,,1,0,nan
2025 UFA,12715,,1,0,nan
2025 UFA,15911,,1,0,nan
2025 UFA,15879,,1,0,nan
2025 UFA,17276,,1,0,nan
2025 UFA,13818,,1,0,nan
2025 UFA,14906,,1,0,nan
2025 UFA,15829,,1,0,nan
2025 UFA,16371,,1,0,nan
2025 UFA,15765,,1,0,nan
2025 UFA,13781,,1,0,nan
2025 UFA,16029,,1,0,nan
2025 UFA,13263,,1,0,nan
2025 UFA,16037,,1,0,nan
2025 UFA,15049,,1,0,nan
2025 UFA,14548,,1,0,nan
2025 UFA,17093,,1,0,nan
2025 UFA,15718,,1,0,nan
2025 UFA,16384,,1,0,nan
2025 UFA,16611,,1,0,nan
