contractYear,salary,id,contractInfo,conference,status
1,,16168,2025 UFA,0,nan
1,,12155,2025 UFA,0,nan
1,,16305,2025 UFA,0,nan
1,,14624,2025 UFA,0,nan
1,,16772,2025 UFA,0,nan
1,,14184,2025 UFA,0,nan
1,,16735,2025 UFA,0,nan
1,,13230,2025 UFA,0,nan
1,,13826,2025 UFA,0,nan
1,,13275,2025 UFA,0,nan
1,,15371,2025 UFA,0,nan
1,,16014,2025 UFA,0,nan
1,,16291,2025 UFA,0,nan
1,,16474,2025 UFA,0,nan
1,,12181,2025 UFA,0,nan
1,,13308,2025 UFA,0,nan
1,,14811,2025 UFA,0,nan
1,,17369,2025 UFA,0,nan
1,,14799,2025 UFA,0,nan
1,,17292,2025 UFA,0,nan
1,,17258,2025 UFA,0,nan
1,,13753,2025 UFA,0,nan
1,,17154,2025 UFA,0,nan
1,,13730,2025 UFA,0,nan
1,,12233,2025 UFA,0,nan
1,,16066,2025 UFA,0,nan
1,,16746,2025 UFA,0,nan
1,,13246,2025 UFA,0,nan
1,,12621,2025 UFA,0,nan
1,,16219,2025 UFA,0,nan
1,,16879,2025 UFA,0,nan
1,,13879,2025 UFA,0,nan
1,,17061,2025 UFA,0,nan
1,,14236,2025 UFA,0,nan
1,,12308,2025 UFA,0,nan
1,,16942,2025 UFA,0,nan
1,,15903,2025 UFA,0,nan
1,,15676,2025 UFA,0,nan
1,,16872,2025 UFA,0,nan
1,,16782,2025 UFA,0,nan
1,,12715,2025 UFA,0,nan
1,,15911,2025 UFA,0,nan
1,,15879,2025 UFA,0,nan
1,,17276,2025 UFA,0,nan
1,,13818,2025 UFA,0,nan
1,,14906,2025 UFA,0,nan
1,,15829,2025 UFA,0,nan
1,,16371,2025 UFA,0,nan
1,,15765,2025 UFA,0,nan
1,1.80,12083,2025 UFA,0,locked
1,,13781,2025 UFA,0,nan
1,,16029,2025 UFA,0,nan
1,,13263,2025 UFA,0,nan
1,,16037,2025 UFA,0,nan
1,,15049,2025 UFA,0,nan
1,,14548,2025 UFA,0,nan
1,,17093,2025 UFA,0,nan
1,,15718,2025 UFA,0,nan
1,,16611,2025 UFA,0,nan
1,,14256,2025 UFA,0,nan
1,,16836,2025 UFA,0,nan
1,,15000,2025 UFA,0,nan
1,,16139,2025 UFA,0,nan
1,,16637,2025 UFA,0,nan
1,,13706,2025 UFA,0,nan
1,,14263,2025 UFA,0,nan
1,,15671,2025 UFA,0,nan
1,,16255,2025 UFA,0,nan
1,,11151,2025 UFA,0,nan
1,,15082,2025 UFA,0,nan
1,,16328,2025 UFA,0,nan
1,,13201,2025 UFA,0,nan
1,,15915,2025 UFA,0,nan
1,,17216,2025 UFA,0,nan
1,,12075,2025 UFA,0,nan
1,,17323,2025 UFA,0,nan
1,,15348,2025 UFA,0,nan
1,,14983,2025 UFA,0,nan
1,,17203,2025 UFA,0,nan
1,,16962,2025 UFA,0,nan
1,,16846,2025 UFA,0,nan
1,,15344,2025 UFA,0,nan
1,,17400,2025 UFA,0,nan
1,,16322,2025 UFA,0,nan
1,,16876,2025 UFA,0,nan
1,,13125,2025 UFA,0,nan
1,,14319,2025 UFA,0,nan
1,,11679,2025 UFA,0,nan
1,,16023,2025 UFA,0,nan
1,,15758,2025 UFA,0,nan
1,,16646,2025 UFA,0,nan
1,,15985,2025 UFA,0,nan
1,,14310,2025 UFA,0,nan
1,,16202,2025 UFA,0,nan
1,,12718,2025 UFA,0,nan
1,,15873,2025 UFA,0,nan
1,,10514,2025 UFA,0,nan
1,,16289,2025 UFA,0,nan
1,,16153,2025 UFA,0,nan
1,,13775,2025 UFA,0,nan
1,,17307,2025 UFA,0,nan
1,,17260,2025 UFA,0,nan
1,,16338,2025 UFA,0,nan
1,,13638,2025 UFA,0,nan
