id,salary,contractYear,contractInfo,conference,status
16168,,1,2025 UFA,0,nan
12155,,1,2025 UFA,0,nan
16305,,1,2025 UFA,0,nan
14624,,1,2025 UFA,0,nan
16772,,1,2025 UFA,0,nan
14184,,1,2025 UFA,0,nan
16735,,1,2025 UFA,0,nan
13230,,1,2025 UFA,0,nan
13826,,1,2025 UFA,0,nan
13275,,1,2025 UFA,0,nan
15371,,1,2025 UFA,0,nan
16291,,1,2025 UFA,0,nan
16474,,1,2025 UFA,0,nan
12181,,1,2025 UFA,0,nan
13308,,1,2025 UFA,0,nan
14811,,1,2025 UFA,0,nan
17369,,1,2025 UFA,0,nan
14799,,1,2025 UFA,0,nan
17292,,1,2025 UFA,0,nan
17258,,1,2025 UFA,0,nan
13753,,1,2025 UFA,0,nan
13730,,1,2025 UFA,0,nan
12233,,1,2025 UFA,0,nan
16066,,1,2025 UFA,0,nan
16746,,1,2025 UFA,0,nan
13246,,1,2025 UFA,0,nan
12621,,1,2025 UFA,0,nan
16219,,1,2025 UFA,0,nan
16879,,1,2025 UFA,0,nan
13879,,1,2025 UFA,0,nan
17061,,1,2025 UFA,0,nan
14236,,1,2025 UFA,0,nan
12308,,1,2025 UFA,0,nan
15858,,1,2025 UFA,0,nan
16942,,1,2025 UFA,0,nan
15903,,1,2025 UFA,0,nan
15676,,1,2025 UFA,0,nan
16872,,1,2025 UFA,0,nan
10814,,1,2025 UFA,0,nan
16782,,1,2025 UFA,0,nan
12715,,1,2025 UFA,0,nan
15911,,1,2025 UFA,0,nan
15879,,1,2025 UFA,0,nan
17276,,1,2025 UFA,0,nan
13818,,1,2025 UFA,0,nan
14906,,1,2025 UFA,0,nan
15829,,1,2025 UFA,0,nan
15301,,1,2025 UFA,0,nan
16371,,1,2025 UFA,0,nan
15765,,1,2025 UFA,0,nan
12083,,1,2025 UFA,0,nan
13781,,1,2025 UFA,0,nan
16029,,1,2025 UFA,0,nan
16037,,1,2025 UFA,0,nan
15049,,1,2025 UFA,0,nan
14548,,1,2025 UFA,0,nan
17093,,1,2025 UFA,0,nan
13980,,1,2025 UFA,0,nan
15718,,1,2025 UFA,0,nan
16611,,1,2025 UFA,0,nan
16836,,1,2025 UFA,0,nan
15000,,1,2025 UFA,0,nan
16637,,1,2025 UFA,0,nan
13706,,1,2025 UFA,0,nan
14263,,1,2025 UFA,0,nan
15671,,1,2025 UFA,0,nan
16255,,1,2025 UFA,0,nan
11151,,1,2025 UFA,0,nan
15409,,1,2025 UFA,0,nan
15082,,1,2025 UFA,0,nan
16328,,1,2025 UFA,0,nan
13201,,1,2025 UFA,0,nan
15915,,1,2025 UFA,0,nan
17216,,1,2025 UFA,0,nan
12075,,1,2025 UFA,0,nan
17323,,1,2025 UFA,0,nan
15348,,1,2025 UFA,0,nan
14983,,1,2025 UFA,0,nan
17203,,1,2025 UFA,0,nan
16962,,1,2025 UFA,0,nan
15344,,1,2025 UFA,0,nan
17400,,1,2025 UFA,0,nan
16322,,1,2025 UFA,0,nan
16876,,1,2025 UFA,0,nan
13125,,1,2025 UFA,0,nan
14319,,1,2025 UFA,0,nan
11679,,1,2025 UFA,0,nan
16023,,1,2025 UFA,0,nan
15758,,1,2025 UFA,0,nan
16646,,1,2025 UFA,0,nan
15985,,1,2025 UFA,0,nan
14310,,1,2025 UFA,0,nan
16202,,1,2025 UFA,0,nan
12718,,1,2025 UFA,0,nan
15873,,1,2025 UFA,0,nan
10514,,1,2025 UFA,0,nan
15913,,1,2025 UFA,0,nan
16289,,1,2025 UFA,0,nan
16153,,1,2025 UFA,0,nan
13775,,1,2025 UFA,0,nan
17307,,1,2025 UFA,0,nan
17260,,1,2025 UFA,0,nan
16338,,1,2025 UFA,0,nan
13638,,1,2025 UFA,0,nan
12699,,1,2025 UFA,0,nan
16865,,1,2025 UFA,0,nan
17257,,1,2025 UFA,0,nan
14933,,1,2025 UFA,0,nan
16288,,1,2025 UFA,0,nan
15973,,1,2025 UFA,0,nan
12292,,1,2025 UFA,0,nan
16054,,1,2025 UFA,0,nan
16499,,1,2025 UFA,0,nan
14202,,1,2025 UFA,0,nan
17299,,1,2025 UFA,0,nan
14552,,1,2025 UFA,0,nan
16075,,1,2025 UFA,0,nan
13926,,1,2025 UFA,0,nan
16393,,1,2025 UFA,0,nan
15460,,1,2025 UFA,0,nan
16556,,1,2025 UFA,0,nan
15246,,1,2025 UFA,0,nan
15892,,1,2025 UFA,0,nan
13868,,1,2025 UFA,0,nan
15854,,1,2025 UFA,0,nan
13256,,1,2025 UFA,0,nan
16770,,1,2025 UFA,0,nan
14286,,1,2025 UFA,0,nan
