id,contractInfo,salary,contractYear,conference,status
16168,2025 UFA,,1,0,nan
12155,2025 UFA,,1,0,nan
16305,2025 UFA,,1,0,nan
14624,2025 UFA,,1,0,nan
16772,2025 UFA,,1,0,nan
14184,2025 UFA,,1,0,nan
16735,2025 UFA,,1,0,nan
13230,2025 UFA,,1,0,nan
13826,2025 UFA,,1,0,nan
13275,2025 UFA,,1,0,nan
15371,2025 UFA,,1,0,nan
16291,2025 UFA,,1,0,nan
16474,2025 UFA,,1,0,nan
12181,2025 UFA,,1,0,nan
13308,2025 UFA,,1,0,nan
14811,2025 UFA,,1,0,nan
17369,2025 UFA,,1,0,nan
14799,2025 UFA,,1,0,nan
17292,2025 UFA,,1,0,nan
17258,2025 UFA,,1,0,nan
13753,2025 UFA,,1,0,nan
17154,2025 UFA,,1,0,nan
13730,2025 UFA,,1,0,nan
12233,2025 UFA,,1,0,nan
16066,2025 UFA,,1,0,nan
16746,2025 UFA,,1,0,nan
13246,2025 UFA,,1,0,nan
12621,2025 UFA,,1,0,nan
16219,2025 UFA,,1,0,nan
16879,2025 UFA,,1,0,nan
13879,2025 UFA,,1,0,nan
17061,2025 UFA,,1,0,nan
14236,2025 UFA,,1,0,nan
12308,2025 UFA,,1,0,nan
16942,2025 UFA,,1,0,nan
15903,2025 UFA,,1,0,nan
15676,2025 UFA,,1,0,nan
16872,2025 UFA,,1,0,nan
10814,2025 UFA,,1,0,nan
16782,2025 UFA,,1,0,nan
17432,2025 UFA,,1,0,nan
12715,2025 UFA,,1,0,nan
15911,2025 UFA,,1,0,nan
15879,2025 UFA,,1,0,nan
17276,2025 UFA,,1,0,nan
13818,2025 UFA,,1,0,nan
14906,2025 UFA,,1,0,nan
15829,2025 UFA,,1,0,nan
15301,2025 UFA,,1,0,nan
15777,2025 UFA,2.38,2,0,locked
16371,2025 UFA,,1,0,nan
15765,2025 UFA,,1,0,nan
12083,2025 UFA,,1,0,nan
13781,2025 UFA,,1,0,nan
16029,2025 UFA,,1,0,nan
16037,2025 UFA,,1,0,nan
15049,2025 UFA,,1,0,nan
14548,2025 UFA,,1,0,nan
17093,2025 UFA,,1,0,nan
13980,2025 UFA,,1,0,nan
15718,2025 UFA,,1,0,nan
16384,2025 UFA,,1,0,nan
16611,2025 UFA,,1,0,nan
16836,2025 UFA,,1,0,nan
15000,2025 UFA,,1,0,nan
16139,2025 UFA,,1,0,nan
16637,2025 UFA,,1,0,nan
13706,2025 UFA,,1,0,nan
14263,2025 UFA,,1,0,nan
15671,2025 UFA,,1,0,nan
16255,2025 UFA,,1,0,nan
17436,2025 UFA,,1,0,locked
11151,2025 UFA,,1,0,nan
15082,2025 UFA,,1,0,nan
16328,2025 UFA,,1,0,nan
13201,2025 UFA,,1,0,nan
15915,2025 UFA,,1,0,nan
17216,2025 UFA,,1,0,nan
12075,2025 UFA,,1,0,nan
17323,2025 UFA,,1,0,nan
15348,2025 UFA,,1,0,nan
14983,2025 UFA,,1,0,nan
17203,2025 UFA,,1,0,nan
16962,2025 UFA,,1,0,nan
15344,2025 UFA,,1,0,nan
17400,2025 UFA,,1,0,nan
16322,2025 UFA,,1,0,nan
16876,2025 UFA,,1,0,nan
13125,2025 UFA,,1,0,nan
14319,2025 UFA,,1,0,nan
11679,2025 UFA,,1,0,nan
16023,2025 UFA,,1,0,nan
15758,2025 UFA,,1,0,nan
16646,2025 UFA,,1,0,nan
15985,2025 UFA,,1,0,nan
14310,2025 UFA,,1,0,nan
16202,2025 UFA,,1,0,nan
12718,2025 UFA,,1,0,nan
15873,2025 UFA,,1,0,nan
10514,2025 UFA,,1,0,nan
16289,2025 UFA,,1,0,nan
16153,2025 UFA,,1,0,nan
13775,2025 UFA,,1,0,nan
17307,2025 UFA,,1,0,nan
17260,2025 UFA,,1,0,nan
16338,2025 UFA,,1,0,nan
13638,2025 UFA,,1,0,nan
12699,2025 UFA,,1,0,nan
16865,2025 UFA,,1,0,nan
17257,2025 UFA,,1,0,nan
17209,2025 UFA,,1,0,nan
16288,2025 UFA,,1,0,nan
15973,2025 UFA,,1,0,nan
12292,2025 UFA,,1,0,nan
16054,2025 UFA,,1,0,nan
16499,2025 UFA,,1,0,nan
