contractYear,salary,contractInfo,id,conference
1,,2025 UFA,16168,0
1,,2025 UFA,12155,0
1,,2025 UFA,16305,0
1,,2025 UFA,14624,0
1,,2025 UFA,16772,0
1,,2025 UFA,14184,0
1,,2025 UFA,16735,0
1,,2025 UFA,13230,0
1,,2025 UFA,13826,0
1,,2025 UFA,13275,0
1,,2025 UFA,15371,0
1,,2025 UFA,16291,0
1,,2025 UFA,16474,0
1,,2025 UFA,12181,0
1,,2025 UFA,13308,0
1,,2025 UFA,14811,0
1,,2025 UFA,17369,0
1,,2025 UFA,14799,0
1,,2025 UFA,17292,0
1,,2025 UFA,17258,0
1,,2025 UFA,13753,0
1,,2025 UFA,17154,0
1,,2025 UFA,13730,0
1,,2025 UFA,12233,0
1,,2025 UFA,16066,0
1,,2025 UFA,16746,0
1,,2025 UFA,13246,0
1,,2025 UFA,12621,0
1,,2025 UFA,16219,0
1,,2025 UFA,16879,0
1,,2025 UFA,13879,0
1,,2025 UFA,17061,0
1,,2025 UFA,14236,0
1,,2025 UFA,12308,0
1,,2025 UFA,16942,0
1,,2025 UFA,15903,0
1,,2025 UFA,15676,0
1,,2025 UFA,16872,0
1,,2025 UFA,10814,0
1,,2025 UFA,16782,0
1,,2025 UFA,17432,0
1,,2025 UFA,12715,0
1,,2025 UFA,15911,0
1,,2025 UFA,15879,0
1,,2025 UFA,17276,0
1,,2025 UFA,13818,0
1,,2025 UFA,14906,0
1,,2025 UFA,15829,0
1,,2025 UFA,15301,0
1,,2025 UFA,15777,0
1,,2025 UFA,16371,0
1,,2025 UFA,15765,0
1,,2025 UFA,12083,0
1,,2025 UFA,13781,0
1,,2025 UFA,16029,0
1,,2025 UFA,16037,0
1,,2025 UFA,15049,0
1,,2025 UFA,14548,0
1,,2025 UFA,17093,0
1,,2025 UFA,13980,0
1,,2025 UFA,15718,0
1,,2025 UFA,16384,0
1,,2025 UFA,16611,0
1,,2025 UFA,16836,0
1,,2025 UFA,15000,0
1,,2025 UFA,16139,0
1,,2025 UFA,16637,0
1,,2025 UFA,13706,0
1,,2025 UFA,14263,0
1,,2025 UFA,15671,0
1,,2025 UFA,16255,0
1,,2025 UFA,17436,0
1,,2025 UFA,11151,0
1,,2025 UFA,15082,0
1,,2025 UFA,16328,0
1,,2025 UFA,13201,0
1,,2025 UFA,15915,0
1,,2025 UFA,17216,0
1,,2025 UFA,12075,0
1,,2025 UFA,17323,0
1,,2025 UFA,15348,0
1,,2025 UFA,14983,0
1,,2025 UFA,17203,0
1,,2025 UFA,16962,0
1,,2025 UFA,15344,0
1,,2025 UFA,17400,0
1,,2025 UFA,16322,0
