contractInfo,salary,contractYear,id,conference,status
2025 UFA,,1,16168,0,nan
2025 UFA,,1,12155,0,nan
2025 UFA,,1,16305,0,nan
2025 UFA,,1,14624,0,nan
2025 UFA,,1,16772,0,nan
2025 UFA,,1,14184,0,nan
2025 UFA,,1,16735,0,nan
2025 UFA,,1,13230,0,nan
2025 UFA,,1,13826,0,nan
2025 UFA,,1,13275,0,nan
2025 UFA,,1,15371,0,nan
2025 UFA,,1,16291,0,nan
2025 UFA,,1,16474,0,nan
2025 UFA,,1,12181,0,nan
2025 UFA,,1,13308,0,nan
2025 UFA,,1,14811,0,nan
2025 UFA,,1,17369,0,nan
2025 UFA,,1,14799,0,nan
2025 UFA,,1,17292,0,nan
2025 UFA,,1,17258,0,nan
2025 UFA,,1,13753,0,nan
2025 UFA,,1,13730,0,nan
2025 UFA,,1,12233,0,nan
2025 UFA,,1,16066,0,nan
2025 UFA,,1,16746,0,nan
2025 UFA,,1,13246,0,nan
2025 UFA,,1,12621,0,nan
2025 UFA,,1,16219,0,nan
2025 UFA,,1,16879,0,nan
2025 UFA,,1,13879,0,nan
2025 UFA,,1,14236,0,nan
2025 UFA,,1,12308,0,nan
2025 UFA,,1,16942,0,nan
2025 UFA,,1,15903,0,nan
2025 UFA,,1,15676,0,nan
2025 UFA,,1,16872,0,nan
2025 UFA,,1,10814,0,nan
2025 UFA,,1,16782,0,nan
2025 UFA,,1,17432,0,nan
2025 UFA,,1,12715,0,nan
2025 UFA,,1,15911,0,nan
2025 UFA,,1,15879,0,nan
2025 UFA,,1,17276,0,nan
2025 UFA,,1,13818,0,nan
2025 UFA,,1,14906,0,nan
2025 UFA,,1,15829,0,nan
2025 UFA,,1,15301,0,nan
2025 UFA,,1,15777,0,nan
2025 UFA,,1,16371,0,nan
2025 UFA,,1,15765,0,nan
2025 UFA,,1,12083,0,nan
2025 UFA,,1,13781,0,nan
2025 UFA,,1,16029,0,nan
2025 UFA,,1,16037,0,nan
2025 UFA,,1,15049,0,nan
2025 UFA,,1,14548,0,nan
2025 UFA,,1,17093,0,nan
2025 UFA,,1,13980,0,nan
2025 UFA,,1,15718,0,nan
2025 UFA,,1,16384,0,nan
2025 UFA,,1,16611,0,nan
2025 UFA,,1,16836,0,nan
