year,team,id,position,name,draft_team,draft_year,stats_global_id,twitter_username,cbs_id,fleaflicker_id,stats_id,status,sportsdata_id,height,rotoworld_id,rotowire_id,draft_round,weight,college,espn_id,jersey,birthdate,nfl_id,draft_pick
2021,BUF,0151,TMWR,"Bills, Buffalo",BUF,1970,0,,,,,,,,,,,,,,,,,
2021,IND,0152,TMWR,"Colts, Indianapolis",IND,1970,0,,,,,,,,,,,,,,,,,
2021,MIA,0153,TMWR,"Dolphins, Miami",MIA,1970,0,,,,,,,,,,,,,,,,,
2021,NEP,0154,TMWR,"Patriots, New England",NEP,1970,0,,,,,,,,,,,,,,,,,
2021,NYJ,0155,TMWR,"Jets, New York",NYJ,1970,0,,,,,,,,,,,,,,,,,
2021,CIN,0156,TMWR,"Bengals, Cincinnati",CIN,1970,0,,,,,,,,,,,,,,,,,
2021,CLE,0157,TMWR,"Browns, Cleveland",CLE,1970,0,,,,,,,,,,,,,,,,,
2021,TEN,0158,TMWR,"Titans, Tennessee",TEN,1970,0,,,,,,,,,,,,,,,,,
2021,JAC,0159,TMWR,"Jaguars, Jacksonville",JAC,1970,0,,,,,,,,,,,,,,,,,
2021,PIT,0160,TMWR,"Steelers, Pittsburgh",PIT,1970,0,,,,,,,,,,,,,,,,,
2021,DEN,0161,TMWR,"Broncos, Denver",DEN,1970,0,,,,,,,,,,,,,,,,,
2021,KCC,0162,TMWR,"Chiefs, Kansas City",KCC,1970,0,,,,,,,,,,,,,,,,,
2021,LVR,0163,TMWR,"Raiders, Las Vegas",OAK,1970,0,,,,,,,,,,,,,,,,,
2021,LAC,0164,TMWR,"Chargers, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2021,SEA,0165,TMWR,"Seahawks, Seattle",SEA,1970,0,,,,,,,,,,,,,,,,,
2021,DAL,0166,TMWR,"Cowboys, Dallas",DAL,1970,0,,,,,,,,,,,,,,,,,
2021,NYG,0167,TMWR,"Giants, New York",NYG,1970,0,,,,,,,,,,,,,,,,,
2021,PHI,0168,TMWR,"Eagles, Philadelphia",PHI,1970,0,,,,,,,,,,,,,,,,,
2021,ARI,0169,TMWR,"Cardinals, Arizona",ARI,1970,0,,,,,,,,,,,,,,,,,
