year,id,position,team,name,draft_team,draft_year,stats_global_id,twitter_username,cbs_id,fleaflicker_id,stats_id,college,weight,draft_pick,draft_round,sportsdata_id,rotowire_id,jersey,height,rotoworld_id,espn_id,birthdate,nfl_id,status
2023,0151,TMWR,BUF,"Bills, Buffalo",BUF,1970,0,,,,,,,,,,,,,,,,,
2023,0152,TMWR,IND,"Colts, Indianapolis",IND,1970,0,,,,,,,,,,,,,,,,,
2023,0153,TMWR,MIA,"Dolphins, Miami",MIA,1970,0,,,,,,,,,,,,,,,,,
2023,0154,TMWR,NEP,"Patriots, New England",NEP,1970,0,,,,,,,,,,,,,,,,,
2023,0155,TMWR,NYJ,"Jets, New York",NYJ,1970,0,,,,,,,,,,,,,,,,,
2023,0156,TMWR,CIN,"Bengals, Cincinnati",CIN,1970,0,,,,,,,,,,,,,,,,,
2023,0157,TMWR,CLE,"Browns, Cleveland",CLE,1970,0,,,,,,,,,,,,,,,,,
2023,0158,TMWR,TEN,"Titans, Tennessee",TEN,1970,0,,,,,,,,,,,,,,,,,
2023,0159,TMWR,JAC,"Jaguars, Jacksonville",JAC,1970,0,,,,,,,,,,,,,,,,,
2023,0160,TMWR,PIT,"Steelers, Pittsburgh",PIT,1970,0,,,,,,,,,,,,,,,,,
2023,0161,TMWR,DEN,"Broncos, Denver",DEN,1970,0,,,,,,,,,,,,,,,,,
2023,0162,TMWR,KCC,"Chiefs, Kansas City",KCC,1970,0,,,,,,,,,,,,,,,,,
2023,0163,TMWR,LVR,"Raiders, Las Vegas",OAK,1970,0,,,,,,,,,,,,,,,,,
2023,0164,TMWR,LAC,"Chargers, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2023,0165,TMWR,SEA,"Seahawks, Seattle",SEA,1970,0,,,,,,,,,,,,,,,,,
2023,0166,TMWR,DAL,"Cowboys, Dallas",DAL,1970,0,,,,,,,,,,,,,,,,,
2023,0167,TMWR,NYG,"Giants, New York",NYG,1970,0,,,,,,,,,,,,,,,,,
2023,0168,TMWR,PHI,"Eagles, Philadelphia",PHI,1970,0,,,,,,,,,,,,,,,,,
2023,0169,TMWR,ARI,"Cardinals, Arizona",ARI,1970,0,,,,,,,,,,,,,,,,,
2023,0170,TMWR,WAS,"Commanders, Washington",WAS,1970,0,,,,,,,,,,,,,,,,,
2023,0171,TMWR,CHI,"Bears, Chicago",CHI,1970,0,,,,,,,,,,,,,,,,,
2023,0172,TMWR,DET,"Lions, Detroit",DET,1970,0,,,,,,,,,,,,,,,,,
2023,0173,TMWR,GBP,"Packers, Green Bay",GBP,1970,0,,,,,,,,,,,,,,,,,
2023,0174,TMWR,MIN,"Vikings, Minnesota",MIN,1970,0,,,,,,,,,,,,,,,,,
2023,0175,TMWR,TBB,"Buccaneers, Tampa Bay",TBB,1970,0,,,,,,,,,,,,,,,,,
2023,0176,TMWR,ATL,"Falcons, Atlanta",ATL,1970,0,,,,,,,,,,,,,,,,,
2023,0177,TMWR,CAR,"Panthers, Carolina",CAR,1970,0,,,,,,,,,,,,,,,,,
2023,0178,TMWR,LAR,"Rams, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2023,0179,TMWR,NOS,"Saints, New Orleans",NOS,1970,0,,,,,,,,,,,,,,,,,
2023,0180,TMWR,SFO,"49ers, San Francisco",SFO,1970,0,,,,,,,,,,,,,,,,,
2023,0181,TMWR,BAL,"Ravens, Baltimore",BAL,1970,0,,,,,,,,,,,,,,,,,
2023,0182,TMWR,HOU,"Texans, Houston",HOU,1970,0,,,,,,,,,,,,,,,,,
2023,0201,TMRB,BUF,"Bills, Buffalo",BUF,1970,0,,,,,,,,,,,,,,,,,
2023,0202,TMRB,IND,"Colts, Indianapolis",IND,1970,0,,,,,,,,,,,,,,,,,
2023,0203,TMRB,MIA,"Dolphins, Miami",MIA,1970,0,,,,,,,,,,,,,,,,,
2023,0204,TMRB,NEP,"Patriots, New England",NEP,1970,0,,,,,,,,,,,,,,,,,
2023,0205,TMRB,NYJ,"Jets, New York",NYJ,1970,0,,,,,,,,,,,,,,,,,
2023,0206,TMRB,CIN,"Bengals, Cincinnati",CIN,1970,0,,,,,,,,,,,,,,,,,
2023,0207,TMRB,CLE,"Browns, Cleveland",CLE,1970,0,,,,,,,,,,,,,,,,,
2023,0208,TMRB,TEN,"Titans, Tennessee",TEN,1970,0,,,,,,,,,,,,,,,,,
2023,0209,TMRB,JAC,"Jaguars, Jacksonville",JAC,1970,0,,,,,,,,,,,,,,,,,
2023,0210,TMRB,PIT,"Steelers, Pittsburgh",PIT,1970,0,,,,,,,,,,,,,,,,,
2023,0211,TMRB,DEN,"Broncos, Denver",DEN,1970,0,,,,,,,,,,,,,,,,,
2023,0212,TMRB,KCC,"Chiefs, Kansas City",KCC,1970,0,,,,,,,,,,,,,,,,,
2023,0213,TMRB,LVR,"Raiders, Las Vegas",OAK,1970,0,,,,,,,,,,,,,,,,,
2023,0214,TMRB,LAC,"Chargers, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2023,0215,TMRB,SEA,"Seahawks, Seattle",SEA,1970,0,,,,,,,,,,,,,,,,,
2023,0216,TMRB,DAL,"Cowboys, Dallas",DAL,1970,0,,,,,,,,,,,,,,,,,
2023,0217,TMRB,NYG,"Giants, New York",NYG,1970,0,,,,,,,,,,,,,,,,,
2023,0218,TMRB,PHI,"Eagles, Philadelphia",PHI,1970,0,,,,,,,,,,,,,,,,,
2023,0219,TMRB,ARI,"Cardinals, Arizona",ARI,1970,0,,,,,,,,,,,,,,,,,
2023,0220,TMRB,WAS,"Commanders, Washington",WAS,1970,0,,,,,,,,,,,,,,,,,
2023,0221,TMRB,CHI,"Bears, Chicago",CHI,1970,0,,,,,,,,,,,,,,,,,
2023,0222,TMRB,DET,"Lions, Detroit",DET,1970,0,,,,,,,,,,,,,,,,,
2023,0223,TMRB,GBP,"Packers, Green Bay",GBP,1970,0,,,,,,,,,,,,,,,,,
2023,0224,TMRB,MIN,"Vikings, Minnesota",MIN,1970,0,,,,,,,,,,,,,,,,,
2023,0225,TMRB,TBB,"Buccaneers, Tampa Bay",TBB,1970,0,,,,,,,,,,,,,,,,,
2023,0226,TMRB,ATL,"Falcons, Atlanta",ATL,1970,0,,,,,,,,,,,,,,,,,
2023,0227,TMRB,CAR,"Panthers, Carolina",CAR,1970,0,,,,,,,,,,,,,,,,,
2023,0228,TMRB,LAR,"Rams, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2023,0229,TMRB,NOS,"Saints, New Orleans",NOS,1970,0,,,,,,,,,,,,,,,,,
2023,0230,TMRB,SFO,"49ers, San Francisco",SFO,1970,0,,,,,,,,,,,,,,,,,
2023,0231,TMRB,BAL,"Ravens, Baltimore",BAL,1970,0,,,,,,,,,,,,,,,,,
2023,0232,TMRB,HOU,"Texans, Houston",HOU,1970,0,,,,,,,,,,,,,,,,,
2023,0251,TMDL,BUF,"Bills, Buffalo",BUF,1970,0,buffalobills,,,,,,,,,,,,,,,,
2023,0252,TMDL,IND,"Colts, Indianapolis",IND,1970,0,nflcolts,,,,,,,,,,,,,,,,
2023,0253,TMDL,MIA,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,,,,,,,,,,,,,,,,
2023,0254,TMDL,NEP,"Patriots, New England",NEP,1970,0,patriots,,,,,,,,,,,,,,,,
2023,0255,TMDL,NYJ,"Jets, New York",NYJ,1970,0,nyjets,,,,,,,,,,,,,,,,
2023,0256,TMDL,CIN,"Bengals, Cincinnati",CIN,1970,0,Bengals,,,,,,,,,,,,,,,,
2023,0257,TMDL,CLE,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,,,,,,,,,,,,,,,,
2023,0258,TMDL,TEN,"Titans, Tennessee",TEN,1970,0,tennesseetitans,,,,,,,,,,,,,,,,
2023,0259,TMDL,JAC,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,,,,,,,,,,,,,,,,
2023,0260,TMDL,PIT,"Steelers, Pittsburgh",PIT,1970,0,steelers,,,,,,,,,,,,,,,,
2023,0261,TMDL,DEN,"Broncos, Denver",DEN,1970,0,DenverBroncos,,,,,,,,,,,,,,,,
2023,0262,TMDL,KCC,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,,,,,,,,,,,,,,,,
2023,0263,TMDL,LVR,"Raiders, Las Vegas",OAK,1970,0,raiders,,,,,,,,,,,,,,,,
2023,0264,TMDL,LAC,"Chargers, Los Angeles",FA,1970,0,chargers,,,,,,,,,,,,,,,,
