year,id,team,draft_year,name,draft_team,position,stats_global_id,twitter_username,stats_id,fleaflicker_id,cbs_id,college,draft_pick,sportsdata_id,weight,draft_round,rotowire_id,height,jersey,birthdate,rotoworld_id,espn_id,nfl_id,status
2025,0151,BUF,1970,"Bills, Buffalo",BUF,TMWR,0,,,,,,,,,,,,,,,,,
2025,0152,IND,1970,"Colts, Indianapolis",IND,TMWR,0,,,,,,,,,,,,,,,,,
2025,0153,MIA,1970,"Dolphins, Miami",MIA,TMWR,0,,,,,,,,,,,,,,,,,
2025,0154,NEP,1970,"Patriots, New England",NEP,TMWR,0,,,,,,,,,,,,,,,,,
2025,0155,NYJ,1970,"Jets, New York",NYJ,TMWR,0,,,,,,,,,,,,,,,,,
2025,0156,CIN,1970,"Bengals, Cincinnati",CIN,TMWR,0,,,,,,,,,,,,,,,,,
2025,0157,CLE,1970,"Browns, Cleveland",CLE,TMWR,0,,,,,,,,,,,,,,,,,
2025,0158,TEN,1970,"Titans, Tennessee",TEN,TMWR,0,,,,,,,,,,,,,,,,,
2025,0159,JAC,1970,"Jaguars, Jacksonville",JAC,TMWR,0,,,,,,,,,,,,,,,,,
2025,0160,PIT,1970,"Steelers, Pittsburgh",PIT,TMWR,0,,,,,,,,,,,,,,,,,
2025,0161,DEN,1970,"Broncos, Denver",DEN,TMWR,0,,,,,,,,,,,,,,,,,
2025,0162,KCC,1970,"Chiefs, Kansas City",KCC,TMWR,0,,,,,,,,,,,,,,,,,
2025,0163,LVR,1970,"Raiders, Las Vegas",OAK,TMWR,0,,,,,,,,,,,,,,,,,
2025,0164,LAC,1970,"Chargers, Los Angeles",FA,TMWR,0,,,,,,,,,,,,,,,,,
2025,0165,SEA,1970,"Seahawks, Seattle",SEA,TMWR,0,,,,,,,,,,,,,,,,,
2025,0166,DAL,1970,"Cowboys, Dallas",DAL,TMWR,0,,,,,,,,,,,,,,,,,
2025,0167,NYG,1970,"Giants, New York",NYG,TMWR,0,,,,,,,,,,,,,,,,,
2025,0168,PHI,1970,"Eagles, Philadelphia",PHI,TMWR,0,,,,,,,,,,,,,,,,,
2025,0169,ARI,1970,"Cardinals, Arizona",ARI,TMWR,0,,,,,,,,,,,,,,,,,
2025,0170,WAS,1970,"Commanders, Washington",WAS,TMWR,0,,,,,,,,,,,,,,,,,
2025,0171,CHI,1970,"Bears, Chicago",CHI,TMWR,0,,,,,,,,,,,,,,,,,
2025,0172,DET,1970,"Lions, Detroit",DET,TMWR,0,,,,,,,,,,,,,,,,,
2025,0173,GBP,1970,"Packers, Green Bay",GBP,TMWR,0,,,,,,,,,,,,,,,,,
2025,0174,MIN,1970,"Vikings, Minnesota",MIN,TMWR,0,,,,,,,,,,,,,,,,,
2025,0175,TBB,1970,"Buccaneers, Tampa Bay",TBB,TMWR,0,,,,,,,,,,,,,,,,,
2025,0176,ATL,1970,"Falcons, Atlanta",ATL,TMWR,0,,,,,,,,,,,,,,,,,
2025,0177,CAR,1970,"Panthers, Carolina",CAR,TMWR,0,,,,,,,,,,,,,,,,,
2025,0178,LAR,1970,"Rams, Los Angeles",FA,TMWR,0,,,,,,,,,,,,,,,,,
2025,0179,NOS,1970,"Saints, New Orleans",NOS,TMWR,0,,,,,,,,,,,,,,,,,
2025,0180,SFO,1970,"49ers, San Francisco",SFO,TMWR,0,,,,,,,,,,,,,,,,,
2025,0181,BAL,1970,"Ravens, Baltimore",BAL,TMWR,0,,,,,,,,,,,,,,,,,
2025,0182,HOU,1970,"Texans, Houston",HOU,TMWR,0,,,,,,,,,,,,,,,,,
2025,0201,BUF,1970,"Bills, Buffalo",BUF,TMRB,0,,,,,,,,,,,,,,,,,
2025,0202,IND,1970,"Colts, Indianapolis",IND,TMRB,0,,,,,,,,,,,,,,,,,
2025,0203,MIA,1970,"Dolphins, Miami",MIA,TMRB,0,,,,,,,,,,,,,,,,,
2025,0204,NEP,1970,"Patriots, New England",NEP,TMRB,0,,,,,,,,,,,,,,,,,
2025,0205,NYJ,1970,"Jets, New York",NYJ,TMRB,0,,,,,,,,,,,,,,,,,
2025,0206,CIN,1970,"Bengals, Cincinnati",CIN,TMRB,0,,,,,,,,,,,,,,,,,
2025,0207,CLE,1970,"Browns, Cleveland",CLE,TMRB,0,,,,,,,,,,,,,,,,,
2025,0208,TEN,1970,"Titans, Tennessee",TEN,TMRB,0,,,,,,,,,,,,,,,,,
2025,0209,JAC,1970,"Jaguars, Jacksonville",JAC,TMRB,0,,,,,,,,,,,,,,,,,
2025,0210,PIT,1970,"Steelers, Pittsburgh",PIT,TMRB,0,,,,,,,,,,,,,,,,,
2025,0211,DEN,1970,"Broncos, Denver",DEN,TMRB,0,,,,,,,,,,,,,,,,,
2025,0212,KCC,1970,"Chiefs, Kansas City",KCC,TMRB,0,,,,,,,,,,,,,,,,,
2025,0213,LVR,1970,"Raiders, Las Vegas",OAK,TMRB,0,,,,,,,,,,,,,,,,,
2025,0214,LAC,1970,"Chargers, Los Angeles",FA,TMRB,0,,,,,,,,,,,,,,,,,
2025,0215,SEA,1970,"Seahawks, Seattle",SEA,TMRB,0,,,,,,,,,,,,,,,,,
2025,0216,DAL,1970,"Cowboys, Dallas",DAL,TMRB,0,,,,,,,,,,,,,,,,,
2025,0217,NYG,1970,"Giants, New York",NYG,TMRB,0,,,,,,,,,,,,,,,,,
2025,0218,PHI,1970,"Eagles, Philadelphia",PHI,TMRB,0,,,,,,,,,,,,,,,,,
2025,0219,ARI,1970,"Cardinals, Arizona",ARI,TMRB,0,,,,,,,,,,,,,,,,,
2025,0220,WAS,1970,"Commanders, Washington",WAS,TMRB,0,,,,,,,,,,,,,,,,,
2025,0221,CHI,1970,"Bears, Chicago",CHI,TMRB,0,,,,,,,,,,,,,,,,,
2025,0222,DET,1970,"Lions, Detroit",DET,TMRB,0,,,,,,,,,,,,,,,,,
2025,0223,GBP,1970,"Packers, Green Bay",GBP,TMRB,0,,,,,,,,,,,,,,,,,
2025,0224,MIN,1970,"Vikings, Minnesota",MIN,TMRB,0,,,,,,,,,,,,,,,,,
2025,0225,TBB,1970,"Buccaneers, Tampa Bay",TBB,TMRB,0,,,,,,,,,,,,,,,,,
2025,0226,ATL,1970,"Falcons, Atlanta",ATL,TMRB,0,,,,,,,,,,,,,,,,,
2025,0227,CAR,1970,"Panthers, Carolina",CAR,TMRB,0,,,,,,,,,,,,,,,,,
2025,0228,LAR,1970,"Rams, Los Angeles",FA,TMRB,0,,,,,,,,,,,,,,,,,
2025,0229,NOS,1970,"Saints, New Orleans",NOS,TMRB,0,,,,,,,,,,,,,,,,,
2025,0230,SFO,1970,"49ers, San Francisco",SFO,TMRB,0,,,,,,,,,,,,,,,,,
2025,0231,BAL,1970,"Ravens, Baltimore",BAL,TMRB,0,,,,,,,,,,,,,,,,,
2025,0232,HOU,1970,"Texans, Houston",HOU,TMRB,0,,,,,,,,,,,,,,,,,
2025,0251,BUF,1970,"Bills, Buffalo",BUF,TMDL,0,buffalobills,,,,,,,,,,,,,,,,
2025,0252,IND,1970,"Colts, Indianapolis",IND,TMDL,0,nflcolts,,,,,,,,,,,,,,,,
2025,0253,MIA,1970,"Dolphins, Miami",MIA,TMDL,0,MiamiDolphins,,,,,,,,,,,,,,,,
2025,0254,NEP,1970,"Patriots, New England",NEP,TMDL,0,patriots,,,,,,,,,,,,,,,,
2025,0255,NYJ,1970,"Jets, New York",NYJ,TMDL,0,nyjets,,,,,,,,,,,,,,,,
2025,0256,CIN,1970,"Bengals, Cincinnati",CIN,TMDL,0,Bengals,,,,,,,,,,,,,,,,
2025,0257,CLE,1970,"Browns, Cleveland",CLE,TMDL,0,OfficialBrowns,,,,,,,,,,,,,,,,
2025,0258,TEN,1970,"Titans, Tennessee",TEN,TMDL,0,tennesseetitans,,,,,,,,,,,,,,,,
2025,0259,JAC,1970,"Jaguars, Jacksonville",JAC,TMDL,0,jaguarsinsider,,,,,,,,,,,,,,,,
2025,0260,PIT,1970,"Steelers, Pittsburgh",PIT,TMDL,0,steelers,,,,,,,,,,,,,,,,
2025,0261,DEN,1970,"Broncos, Denver",DEN,TMDL,0,DenverBroncos,,,,,,,,,,,,,,,,
2025,0262,KCC,1970,"Chiefs, Kansas City",KCC,TMDL,0,kcchiefs,,,,,,,,,,,,,,,,
2025,0263,LVR,1970,"Raiders, Las Vegas",OAK,TMDL,0,raiders,,,,,,,,,,,,,,,,
2025,0264,LAC,1970,"Chargers, Los Angeles",FA,TMDL,0,chargers,,,,,,,,,,,,,,,,
2025,0265,SEA,1970,"Seahawks, Seattle",SEA,TMDL,0,seahawks,,,,,,,,,,,,,,,,
2025,0266,DAL,1970,"Cowboys, Dallas",DAL,TMDL,0,dallascowboys,,,,,,,,,,,,,,,,
2025,0267,NYG,1970,"Giants, New York",NYG,TMDL,0,giants,,,,,,,,,,,,,,,,
2025,0268,PHI,1970,"Eagles, Philadelphia",PHI,TMDL,0,Eagles,,,,,,,,,,,,,,,,
2025,0269,ARI,1970,"Cardinals, Arizona",ARI,TMDL,0,AZCardinals,,,,,,,,,,,,,,,,
2025,0270,WAS,1970,"Commanders, Washington",WAS,TMDL,0,Redskins,,,,,,,,,,,,,,,,
2025,0271,CHI,1970,"Bears, Chicago",CHI,TMDL,0,ChicagoBears,,,,,,,,,,,,,,,,
2025,0272,DET,1970,"Lions, Detroit",DET,TMDL,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2025,0273,GBP,1970,"Packers, Green Bay",GBP,TMDL,0,packers,,,,,,,,,,,,,,,,
2025,0274,MIN,1970,"Vikings, Minnesota",MIN,TMDL,0,Vikings,,,,,,,,,,,,,,,,
2025,0275,TBB,1970,"Buccaneers, Tampa Bay",TBB,TMDL,0,TBBuccaneers,,,,,,,,,,,,,,,,
2025,0276,ATL,1970,"Falcons, Atlanta",ATL,TMDL,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2025,0277,CAR,1970,"Panthers, Carolina",CAR,TMDL,0,Panthers,,,,,,,,,,,,,,,,
2025,0278,LAR,1970,"Rams, Los Angeles",FA,TMDL,0,STLouisRams,,,,,,,,,,,,,,,,
2025,0279,NOS,1970,"Saints, New Orleans",NOS,TMDL,0,saints,,,,,,,,,,,,,,,,
2025,0280,SFO,1970,"49ers, San Francisco",SFO,TMDL,0,49ers,,,,,,,,,,,,,,,,
2025,0281,BAL,1970,"Ravens, Baltimore",BAL,TMDL,0,ravens,,,,,,,,,,,,,,,,
2025,0282,HOU,1970,"Texans, Houston",HOU,TMDL,0,houstontexans,,,,,,,,,,,,,,,,
2025,0301,BUF,1970,"Bills, Buffalo",BUF,TMLB,0,buffalobills,,,,,,,,,,,,,,,,
2025,0302,IND,1970,"Colts, Indianapolis",IND,TMLB,0,nflcolts,,,,,,,,,,,,,,,,
2025,0303,MIA,1970,"Dolphins, Miami",MIA,TMLB,0,MiamiDolphins,,,,,,,,,,,,,,,,
2025,0304,NEP,1970,"Patriots, New England",NEP,TMLB,0,patriots,,,,,,,,,,,,,,,,
2025,0305,NYJ,1970,"Jets, New York",NYJ,TMLB,0,nyjets,,,,,,,,,,,,,,,,
2025,0306,CIN,1970,"Bengals, Cincinnati",CIN,TMLB,0,Bengals,,,,,,,,,,,,,,,,
2025,0307,CLE,1970,"Browns, Cleveland",CLE,TMLB,0,OfficialBrowns,,,,,,,,,,,,,,,,
2025,0308,TEN,1970,"Titans, Tennessee",TEN,TMLB,0,tennesseetitans,,,,,,,,,,,,,,,,
2025,0309,JAC,1970,"Jaguars, Jacksonville",JAC,TMLB,0,jaguarsinsider,,,,,,,,,,,,,,,,
2025,0310,PIT,1970,"Steelers, Pittsburgh",PIT,TMLB,0,steelers,,,,,,,,,,,,,,,,
2025,0311,DEN,1970,"Broncos, Denver",DEN,TMLB,0,DenverBroncos,,,,,,,,,,,,,,,,
2025,0312,KCC,1970,"Chiefs, Kansas City",KCC,TMLB,0,kcchiefs,,,,,,,,,,,,,,,,
2025,0313,LVR,1970,"Raiders, Las Vegas",OAK,TMLB,0,raiders,,,,,,,,,,,,,,,,
2025,0314,LAC,1970,"Chargers, Los Angeles",FA,TMLB,0,chargers,,,,,,,,,,,,,,,,
2025,0315,SEA,1970,"Seahawks, Seattle",SEA,TMLB,0,seahawks,,,,,,,,,,,,,,,,
2025,0316,DAL,1970,"Cowboys, Dallas",DAL,TMLB,0,dallascowboys,,,,,,,,,,,,,,,,
2025,0317,NYG,1970,"Giants, New York",NYG,TMLB,0,giants,,,,,,,,,,,,,,,,
2025,0318,PHI,1970,"Eagles, Philadelphia",PHI,TMLB,0,Eagles,,,,,,,,,,,,,,,,
2025,0319,ARI,1970,"Cardinals, Arizona",ARI,TMLB,0,AZCardinals,,,,,,,,,,,,,,,,
2025,0320,WAS,1970,"Commanders, Washington",WAS,TMLB,0,Redskins,,,,,,,,,,,,,,,,
2025,0321,CHI,1970,"Bears, Chicago",CHI,TMLB,0,ChicagoBears,,,,,,,,,,,,,,,,
2025,0322,DET,1970,"Lions, Detroit",DET,TMLB,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2025,0323,GBP,1970,"Packers, Green Bay",GBP,TMLB,0,packers,,,,,,,,,,,,,,,,
2025,0324,MIN,1970,"Vikings, Minnesota",MIN,TMLB,0,Vikings,,,,,,,,,,,,,,,,
2025,0325,TBB,1970,"Buccaneers, Tampa Bay",TBB,TMLB,0,TBBuccaneers,,,,,,,,,,,,,,,,
2025,0326,ATL,1970,"Falcons, Atlanta",ATL,TMLB,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2025,0327,CAR,1970,"Panthers, Carolina",CAR,TMLB,0,Panthers,,,,,,,,,,,,,,,,
2025,0328,LAR,1970,"Rams, Los Angeles",FA,TMLB,0,STLouisRams,,,,,,,,,,,,,,,,
2025,0329,NOS,1970,"Saints, New Orleans",NOS,TMLB,0,saints,,,,,,,,,,,,,,,,
2025,0330,SFO,1970,"49ers, San Francisco",SFO,TMLB,0,49ers,,,,,,,,,,,,,,,,
2025,0331,BAL,1970,"Ravens, Baltimore",BAL,TMLB,0,ravens,,,,,,,,,,,,,,,,
2025,0332,HOU,1970,"Texans, Houston",HOU,TMLB,0,houstontexans,,,,,,,,,,,,,,,,
2025,0351,BUF,1970,"Bills, Buffalo",BUF,TMDB,0,buffalobills,,,,,,,,,,,,,,,,
2025,0352,IND,1970,"Colts, Indianapolis",IND,TMDB,0,nflcolts,,,,,,,,,,,,,,,,
2025,0353,MIA,1970,"Dolphins, Miami",MIA,TMDB,0,MiamiDolphins,,,,,,,,,,,,,,,,
2025,0354,NEP,1970,"Patriots, New England",NEP,TMDB,0,patriots,,,,,,,,,,,,,,,,
2025,0355,NYJ,1970,"Jets, New York",NYJ,TMDB,0,nyjets,,,,,,,,,,,,,,,,
2025,0356,CIN,1970,"Bengals, Cincinnati",CIN,TMDB,0,Bengals,,,,,,,,,,,,,,,,
2025,0357,CLE,1970,"Browns, Cleveland",CLE,TMDB,0,OfficialBrowns,,,,,,,,,,,,,,,,
2025,0358,TEN,1970,"Titans, Tennessee",TEN,TMDB,0,tennesseetitans,,,,,,,,,,,,,,,,
2025,0359,JAC,1970,"Jaguars, Jacksonville",JAC,TMDB,0,jaguarsinsider,,,,,,,,,,,,,,,,
2025,0360,PIT,1970,"Steelers, Pittsburgh",PIT,TMDB,0,steelers,,,,,,,,,,,,,,,,
2025,0361,DEN,1970,"Broncos, Denver",DEN,TMDB,0,DenverBroncos,,,,,,,,,,,,,,,,
2025,0362,KCC,1970,"Chiefs, Kansas City",KCC,TMDB,0,kcchiefs,,,,,,,,,,,,,,,,
2025,0363,LVR,1970,"Raiders, Las Vegas",OAK,TMDB,0,raiders,,,,,,,,,,,,,,,,
2025,0364,LAC,1970,"Chargers, Los Angeles",FA,TMDB,0,chargers,,,,,,,,,,,,,,,,
2025,0365,SEA,1970,"Seahawks, Seattle",SEA,TMDB,0,seahawks,,,,,,,,,,,,,,,,
2025,0366,DAL,1970,"Cowboys, Dallas",DAL,TMDB,0,dallascowboys,,,,,,,,,,,,,,,,
2025,0367,NYG,1970,"Giants, New York",NYG,TMDB,0,giants,,,,,,,,,,,,,,,,
2025,0368,PHI,1970,"Eagles, Philadelphia",PHI,TMDB,0,Eagles,,,,,,,,,,,,,,,,
2025,0369,ARI,1970,"Cardinals, Arizona",ARI,TMDB,0,AZCardinals,,,,,,,,,,,,,,,,
2025,0370,WAS,1970,"Commanders, Washington",WAS,TMDB,0,Redskins,,,,,,,,,,,,,,,,
2025,0371,CHI,1970,"Bears, Chicago",CHI,TMDB,0,ChicagoBears,,,,,,,,,,,,,,,,
2025,0372,DET,1970,"Lions, Detroit",DET,TMDB,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2025,0373,GBP,1970,"Packers, Green Bay",GBP,TMDB,0,packers,,,,,,,,,,,,,,,,
2025,0374,MIN,1970,"Vikings, Minnesota",MIN,TMDB,0,Vikings,,,,,,,,,,,,,,,,
2025,0375,TBB,1970,"Buccaneers, Tampa Bay",TBB,TMDB,0,TBBuccaneers,,,,,,,,,,,,,,,,
2025,0376,ATL,1970,"Falcons, Atlanta",ATL,TMDB,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2025,0377,CAR,1970,"Panthers, Carolina",CAR,TMDB,0,Panthers,,,,,,,,,,,,,,,,
2025,0378,LAR,1970,"Rams, Los Angeles",FA,TMDB,0,STLouisRams,,,,,,,,,,,,,,,,
2025,0379,NOS,1970,"Saints, New Orleans",NOS,TMDB,0,saints,,,,,,,,,,,,,,,,
2025,0380,SFO,1970,"49ers, San Francisco",SFO,TMDB,0,49ers,,,,,,,,,,,,,,,,
2025,0381,BAL,1970,"Ravens, Baltimore",BAL,TMDB,0,ravens,,,,,,,,,,,,,,,,
2025,0382,HOU,1970,"Texans, Houston",HOU,TMDB,0,houstontexans,,,,,,,,,,,,,,,,
2025,0401,BUF,1970,"Bills, Buffalo",BUF,TMTE,0,buffalobills,,,,,,,,,,,,,,,,
2025,0402,IND,1970,"Colts, Indianapolis",IND,TMTE,0,nflcolts,,,,,,,,,,,,,,,,
2025,0403,MIA,1970,"Dolphins, Miami",MIA,TMTE,0,MiamiDolphins,,,,,,,,,,,,,,,,
2025,0404,NEP,1970,"Patriots, New England",NEP,TMTE,0,patriots,,,,,,,,,,,,,,,,
2025,0405,NYJ,1970,"Jets, New York",NYJ,TMTE,0,nyjets,,,,,,,,,,,,,,,,
2025,0406,CIN,1970,"Bengals, Cincinnati",CIN,TMTE,0,Bengals,,,,,,,,,,,,,,,,
2025,0407,CLE,1970,"Browns, Cleveland",CLE,TMTE,0,OfficialBrowns,,,,,,,,,,,,,,,,
2025,0408,TEN,1970,"Titans, Tennessee",TEN,TMTE,0,tennesseetitans,,,,,,,,,,,,,,,,
2025,0409,JAC,1970,"Jaguars, Jacksonville",JAC,TMTE,0,jaguarsinsider,,,,,,,,,,,,,,,,
2025,0410,PIT,1970,"Steelers, Pittsburgh",PIT,TMTE,0,steelers,,,,,,,,,,,,,,,,
2025,0411,DEN,1970,"Broncos, Denver",DEN,TMTE,0,DenverBroncos,,,,,,,,,,,,,,,,
2025,0412,KCC,1970,"Chiefs, Kansas City",KCC,TMTE,0,kcchiefs,,,,,,,,,,,,,,,,
2025,0413,LVR,1970,"Raiders, Las Vegas",OAK,TMTE,0,raiders,,,,,,,,,,,,,,,,
2025,0414,LAC,1970,"Chargers, Los Angeles",FA,TMTE,0,chargers,,,,,,,,,,,,,,,,
2025,0415,SEA,1970,"Seahawks, Seattle",SEA,TMTE,0,seahawks,,,,,,,,,,,,,,,,
2025,0416,DAL,1970,"Cowboys, Dallas",DAL,TMTE,0,dallascowboys,,,,,,,,,,,,,,,,
2025,0417,NYG,1970,"Giants, New York",NYG,TMTE,0,giants,,,,,,,,,,,,,,,,
2025,0418,PHI,1970,"Eagles, Philadelphia",PHI,TMTE,0,Eagles,,,,,,,,,,,,,,,,
2025,0419,ARI,1970,"Cardinals, Arizona",ARI,TMTE,0,AZCardinals,,,,,,,,,,,,,,,,
2025,0420,WAS,1970,"Commanders, Washington",WAS,TMTE,0,Redskins,,,,,,,,,,,,,,,,
2025,0421,CHI,1970,"Bears, Chicago",CHI,TMTE,0,ChicagoBears,,,,,,,,,,,,,,,,
2025,0422,DET,1970,"Lions, Detroit",DET,TMTE,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2025,0423,GBP,1970,"Packers, Green Bay",GBP,TMTE,0,packers,,,,,,,,,,,,,,,,
2025,0424,MIN,1970,"Vikings, Minnesota",MIN,TMTE,0,Vikings,,,,,,,,,,,,,,,,
2025,0425,TBB,1970,"Buccaneers, Tampa Bay",TBB,TMTE,0,TBBuccaneers,,,,,,,,,,,,,,,,
2025,0426,ATL,1970,"Falcons, Atlanta",ATL,TMTE,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2025,0427,CAR,1970,"Panthers, Carolina",CAR,TMTE,0,Panthers,,,,,,,,,,,,,,,,
2025,0428,LAR,1970,"Rams, Los Angeles",FA,TMTE,0,STLouisRams,,,,,,,,,,,,,,,,
2025,0429,NOS,1970,"Saints, New Orleans",NOS,TMTE,0,saints,,,,,,,,,,,,,,,,
2025,0430,SFO,1970,"49ers, San Francisco",SFO,TMTE,0,49ers,,,,,,,,,,,,,,,,
2025,0431,BAL,1970,"Ravens, Baltimore",BAL,TMTE,0,ravens,,,,,,,,,,,,,,,,
2025,0432,HOU,1970,"Texans, Houston",HOU,TMTE,0,houstontexans,,,,,,,,,,,,,,,,
2025,0501,BUF,1970,"Bills, Buffalo",BUF,Def,0,buffalobills,2,2331,409,,,,,,,,,,,,,
2025,0502,IND,1970,"Colts, Indianapolis",IND,Def,0,nflcolts,11,2341,402,,,,,,,,,,,,,
