season,week,franchise_id,player_id,contractYear,status,contractInfo,salary
2018,21,0001,10983,2,ROSTER,2017 ORFA,4.51
2018,21,0001,8742,1,ROSTER,2017 UFA,0.88
2018,21,0001,12305,3,ROSTER,2017 FRFA,3.19
2018,21,0001,9749,1,ROSTER,2017 UFA,3.85
2018,21,0001,12230,2,ROSTER,2017 UFA,1.32
2018,21,0001,13221,3,ROSTER,2017 2.04,1.98
2018,21,0001,9866,1,ROSTER,Inaugural,5.57
2018,21,0001,10267,1,ROSTER,Inaugural,7.38
2018,21,0001,11813,2,ROSTER,Inaugural,12.95
2018,21,0001,13214,3,ROSTER,2017 5.05,0.66
2018,21,0001,11512,2,ROSTER,2017 ORFA,2.75
2018,21,0001,11313,1,ROSTER,Inaugural,7.38
2018,21,0001,13113,2,ROSTER,2017 1.16,2.2
2018,21,0001,12171,3,ROSTER,Inaugural,17.55
2018,21,0001,13128,3,ROSTER,2017 1.03,5.5
2018,21,0001,13200,3,ROSTER,2017 2.03,1.98
2018,21,0001,13263,3,ROSTER,2017 4.03,0.99
2018,21,0001,10389,2,ROSTER,2018 FRFA,3.1
2018,21,0001,11925,2,ROSTER,2018 ORFA,5.0
2018,21,0001,13646,4,ROSTER,2018 2.09,1.6
2018,21,0001,10642,1,ROSTER,2018 UFA,0.6
2018,21,0001,13229,3,ROSTER,2018 UFA,2.0
2018,21,0001,8247,1,ROSTER,2018 UFA,1.2
2018,21,0001,8375,1,ROSTER,2018 UFA,1.2
2018,21,0001,9831,2,ROSTER,Inaugural,8.11
2018,21,0001,13717,4,ROSTER,2018 3.11,1.1
2018,21,0001,13680,4,ROSTER,2018 2.11,1.5
2018,21,0001,12754,3,ROSTER,2017 UFA,1.32
2018,21,0001,13296,2,ROSTER,2017 UDFA,0.55
2018,21,0001,13716,4,ROSTER,2018 5.01,0.7
2018,21,0001,11840,1,ROSTER,2018 UFA,0.6
2018,21,0001,13909,1,ROSTER,2018 UFA,0.6
2018,21,0001,12317,1,ROSTER,2018 UFA,1.2
2018,21,0001,11375,1,ROSTER,2018 UFA,0.6
2018,21,0001,12988,1,ROSTER,2018 UFA,1.2
2018,21,0001,8265,1,ROSTER,2018 UFA,0.6
2018,21,0001,11895,1,ROSTER,2018 UFA,0.6
2018,21,0001,11956,2,ROSTER,2017 SRFA,2.42
2018,21,0001,12817,1,ROSTER,2018 UFA,0.6
2018,21,0001,11886,1,ROSTER,2018 UFA,0.6
2018,21,0001,11722,4,INJURED_RESERVE,2018 UFA,1.2
2018,21,0001,13190,2,INJURED_RESERVE,2017 2.16,1.43
2018,21,0001,10313,2,INJURED_RESERVE,2018 UFA,6.0
2018,21,0002,11642,2,ROSTER,2017 UFA,1.98
2018,21,0002,10846,1,ROSTER,Inaugural,1.81
2018,21,0002,10753,2,ROSTER,Inaugural,3.15
2018,21,0002,12742,2,ROSTER,2017 UFA,1.43
2018,21,0002,9430,1,ROSTER,2017 UFA,1.32
2018,21,0002,12930,3,ROSTER,2017 EXT,1.31
2018,21,0002,10960,1,ROSTER,Inaugural,3.63
2018,21,0002,11349,2,ROSTER,2017 UFA,4.62
2018,21,0002,13222,3,ROSTER,2017 3.11,1.1
2018,21,0002,13228,3,ROSTER,2017 3.08,1.21
2018,21,0002,12634,3,ROSTER,2018 FRFA,5.0
2018,21,0002,9884,2,ROSTER,2018 UFA,9.0
2018,21,0002,11192,2,ROSTER,Inaugural,20.81
2018,21,0002,13589,4,ROSTER,2018 2.07,1.7
2018,21,0002,13713,4,ROSTER,2018 3.07,1.2
2018,21,0002,13708,3,ROSTER,2018 6.07,0.6
2018,21,0002,13793,3,ROSTER,2018 UDFA,0.5
2018,21,0002,12217,2,ROSTER,2018 UFA,1.2
2018,21,0002,12762,2,ROSTER,2018 UFA,3.3
2018,21,0002,13738,2,ROSTER,2018 UFA,2.3
2018,21,0002,12083,2,ROSTER,2018 UFA,1.2
2018,21,0002,13601,3,ROSTER,2018 UFA,0.6
2018,21,0002,13813,2,ROSTER,2018 UFA,1.1
2018,21,0002,13679,2,ROSTER,2018 UFA,0.6
2018,21,0002,10851,2,ROSTER,2018 UFA,1.2
2018,21,0002,13745,3,ROSTER,2018 UFA,0.6
2018,21,0002,13706,3,ROSTER,2018 5.12,0.7
2018,21,0002,10782,2,ROSTER,2018 UFA,1.2
2018,21,0002,11262,2,ROSTER,2017 UFA,1.32
2018,21,0002,10540,2,ROSTER,2018 UFA,1.1
2018,21,0002,13777,2,ROSTER,2018 UFA,0.6
2018,21,0002,12745,2,ROSTER,2017 SRFA,8.69
2018,21,0002,13254,2,ROSTER,2017 4.08,0.88
2018,21,0002,13850,2,ROSTER,2018 UFA,1.2
2018,21,0002,13740,3,ROSTER,2018 5.07,0.7
2018,21,0002,13653,2,ROSTER,2018 UFA,1.2
2018,21,0002,12623,2,ROSTER,2018 UFA,0.6
2018,21,0002,13649,4,ROSTER,2018 4.07,0.9
2018,21,0002,13882,2,ROSTER,2018 UFA,0.6
2018,21,0002,13774,2,ROSTER,2018 UFA,0.6
2018,21,0002,11182,2,ROSTER,2018 UFA,0.7
2018,21,0002,13989,3,ROSTER,2018 UFA,0.6
2018,21,0002,10810,2,ROSTER,2018 UFA,1.2
2018,21,0002,12447,2,INJURED_RESERVE,2018 UFA,1.1
2018,21,0002,12250,2,INJURED_RESERVE,2017 UFA,7.92
2018,21,0002,12990,2,INJURED_RESERVE,2018 UFA,0.7
2018,21,0003,12181,1,ROSTER,2017 UFA,0.66
2018,21,0003,11938,2,ROSTER,2017 EXT,4.95
2018,21,0003,10763,1,ROSTER,2017 UFA,0.66
2018,21,0003,10770,1,ROSTER,2017 ORFA,5.06
2018,21,0003,11327,1,ROSTER,2017 UFA,0.66
2018,21,0003,11244,1,ROSTER,2018 NEFT,11.16
2018,21,0003,11706,5,ROSTER,2018 FRFA,3.1
2018,21,0003,9051,1,ROSTER,2018 ORFA,11.0
2018,21,0003,12620,1,ROSTER,2016 UFA,0.85
2018,21,0003,10709,2,ROSTER,2017 UFA,2.2
2018,21,0003,11283,2,ROSTER,2018 UFA,6.5
2018,21,0003,8713,1,ROSTER,2018 UFA,2.0
2018,21,0003,11965,1,ROSTER,2018 UFA,1.2
2018,21,0003,9853,1,ROSTER,2018 UFA,1.6
2018,21,0003,10271,1,ROSTER,Inaugural,26.02
2018,21,0003,12691,1,ROSTER,2016 6.04,0.61
2018,21,0003,8444,1,ROSTER,2017 UFA,0.66
2018,21,0003,12278,2,ROSTER,2018 UFA,4.5
2018,21,0003,11830,1,ROSTER,2018 UFA,1.2
2018,21,0003,7757,1,ROSTER,2018 UFA,1.2
2018,21,0003,12349,1,ROSTER,2017 UFA,0.66
2018,21,0003,13684,4,ROSTER,2018 5.10,0.7
2018,21,0003,13789,4,ROSTER,2018 6.10,0.6
2018,21,0003,5848,1,ROSTER,Inaugural,10.89
2018,21,0003,13220,3,ROSTER,2017 5.09,0.66
2018,21,0003,11312,2,ROSTER,2018 UFA,1.1
2018,21,0003,11188,2,ROSTER,2018 UFA,0.6
2018,21,0003,6789,1,ROSTER,2018 ERFA,0.66
2018,21,0003,10276,1,ROSTER,Inaugural,9.8
2018,21,0003,12656,1,ROSTER,2018 UFA,1.1
2018,21,0003,13704,3,ROSTER,2018 UFA,0.6
2018,21,0003,12246,1,ROSTER,2018 UFA,0.6
2018,21,0003,10789,1,ROSTER,2017 UFA,0.88
2018,21,0003,11317,3,ROSTER,2018 EXT,1.58
2018,21,0003,13354,2,ROSTER,2018 UFA,1.1
2018,21,0003,11883,2,ROSTER,2018 UFA,0.6
2018,21,0003,11788,2,ROSTER,2018 UFA,0.6
2018,21,0003,13816,3,ROSTER,2018 UFA,0.6
2018,21,0003,12428,2,ROSTER,2018 UFA,0.6
2018,21,0003,10861,1,ROSTER,2018 UFA,0.6
2018,21,0003,13017,1,ROSTER,2018 UFA,0.6
2018,21,0003,13435,2,ROSTER,2018 UFA,1.1
2018,21,0003,13747,1,ROSTER,2018 UFA,0.6
2018,21,0003,11383,1,ROSTER,2018 UFA,0.6
2018,21,0003,12636,1,ROSTER,2018 UFA,0.6
2018,21,0003,13763,3,INJURED_RESERVE,2018 UFA,0.6
2018,21,0003,11814,2,INJURED_RESERVE,2018 UFA,0.6
2018,21,0003,13188,3,INJURED_RESERVE,2017 1.09,3.19
2018,21,0003,12696,1,INJURED_RESERVE,2016 3.13,1.09
2018,21,0003,13136,1,INJURED_RESERVE,2018 UFA,1.2
2018,21,0003,13683,4,INJURED_RESERVE,2018 6.15,0.6
2018,21,0004,13132,4,ROSTER,2018 EXT,3.37
2018,21,0004,11695,2,ROSTER,Inaugural,6.05
2018,21,0004,12698,2,ROSTER,2016 4.02,0.97
2018,21,0004,13198,3,ROSTER,2017 1.08,3.41
2018,21,0004,11721,3,ROSTER,Inaugural,8.71
2018,21,0004,11348,2,ROSTER,Inaugural,1.33
2018,21,0004,12611,2,ROSTER,2016 1.09,3.27
2018,21,0004,9904,1,ROSTER,Inaugural,5.81
2018,21,0004,10266,1,ROSTER,Inaugural,5.2
2018,21,0004,12245,3,ROSTER,Inaugural,5.45
2018,21,0004,11680,3,ROSTER,2018 B/R,13.3
2018,21,0004,11239,2,ROSTER,2018 FRFA,3.1
2018,21,0004,12184,2,ROSTER,2018 SRFA,5.1
2018,21,0004,12703,1,ROSTER,2016 UFA,1.33
2018,21,0004,13591,4,ROSTER,2018 1.03,5.3
2018,21,0004,13735,4,ROSTER,2018 4.16,0.8
2018,21,0004,13750,4,ROSTER,2018 5.06,0.7
2018,21,0004,13782,3,ROSTER,2018 UDFA,0.5
2018,21,0004,12767,3,ROSTER,2018 UFA,1.2
2018,21,0004,12159,2,ROSTER,2018 UFA,1.1
2018,21,0004,13306,2,ROSTER,2018 UFA,1.5
2018,21,0004,10976,3,ROSTER,2018 UFA,3.0
2018,21,0004,12211,2,ROSTER,2018 UFA,1.0
2018,21,0004,12734,1,ROSTER,2016 5.09,1.21
2018,21,0004,12699,2,ROSTER,2018 UFA,0.6
2018,21,0004,12650,2,ROSTER,2018 UFA,0.6
2018,21,0004,13668,4,ROSTER,2018 4.02,0.9
2018,21,0004,11764,1,ROSTER,2018 ERFA,0.66
2018,21,0004,13287,2,ROSTER,2018 UFA,0.6
2018,21,0004,9846,2,ROSTER,2018 UFA,0.6
2018,21,0004,8658,1,ROSTER,2017 UFA,1.21
2018,21,0004,13382,2,ROSTER,2018 UFA,1.1
2018,21,0004,13764,2,ROSTER,2018 UFA,0.6
2018,21,0004,13819,2,ROSTER,2018 UFA,1.1
2018,21,0004,12257,2,ROSTER,2018 UFA,0.6
2018,21,0004,13752,,ROSTER,2018 UFA,0.6
2018,21,0004,9829,3,INJURED_RESERVE,Inaugural,4.96
2018,21,0004,12154,1,INJURED_RESERVE,Inaugural,4.96
2018,21,0004,11250,3,INJURED_RESERVE,2018 UFA,2.5
2018,21,0004,11772,1,INJURED_RESERVE,Inaugural,1.45
2018,21,0004,12276,2,INJURED_RESERVE,Inaugural,3.51
2018,21,0004,11775,1,INJURED_RESERVE,Inaugural,4.48
2018,21,0004,10261,2,INJURED_RESERVE,2018 B/R,18.2
2018,21,0004,12716,1,INJURED_RESERVE,2018 ORFA,1.6
2018,21,0005,13116,6,ROSTER,2018 EXT,4.62
2018,21,0005,12625,2,ROSTER,2016 1.01,6.78
2018,21,0005,9868,2,ROSTER,2017 UFA,2.31
2018,21,0005,9815,2,ROSTER,2017 UFA,8.8
2018,21,0005,12222,1,ROSTER,2016 UFA,2.06
2018,21,0005,11707,1,ROSTER,2017 UFA,1.21
2018,21,0005,10879,1,ROSTER,2017 UFA,1.21
2018,21,0005,11403,1,ROSTER,2017 UFA,0.99
2018,21,0005,12748,1,ROSTER,2016 UFA,1.09
2018,21,0005,13155,3,ROSTER,2017 1.10,2.97
2018,21,0005,10272,2,ROSTER,2016 UFA,6.05
2018,21,0005,10308,1,ROSTER,2018 B/R,5.5
2018,21,0005,4925,2,ROSTER,2018 SRFA,16.5
2018,21,0005,13156,5,ROSTER,2018 FRFA,4.0
2018,21,0005,13697,4,ROSTER,2018 1.15,2.2
2018,21,0005,13727,4,ROSTER,2018 2.10,1.6
2018,21,0005,13691,4,ROSTER,2018 3.01,1.3
2018,21,0005,12630,3,ROSTER,2018 SRFA,4.5
2018,21,0005,8359,2,ROSTER,2018 UFA,1.5
2018,21,0005,9075,2,ROSTER,2018 UFA,2.2
2018,21,0005,12295,2,ROSTER,2018 UFA,1.1
2018,21,0005,11747,2,ROSTER,2018 UFA,1.1
2018,21,0005,9988,1,ROSTER,Inaugural,25.41
2018,21,0005,13249,2,ROSTER,2017 UDFA,0.55
2018,21,0005,11350,1,ROSTER,2017 UFA,0.66
2018,21,0005,13645,4,ROSTER,2018 4.03,0.9
2018,21,0005,13778,3,ROSTER,2018 UFA,0.6
2018,21,0005,11802,1,ROSTER,2018 UFA,0.9
2018,21,0005,13215,3,ROSTER,2017 2.07,1.76
2018,21,0005,12841,2,ROSTER,2018 UFA,1.2
2018,21,0005,10527,2,ROSTER,Inaugural,7.87
2018,21,0005,9919,1,ROSTER,2018 UFA,1.1
2018,21,0005,12714,1,ROSTER,2018 UFA,1.3
2018,21,0005,12680,2,ROSTER,2018 UFA,0.6
2018,21,0005,12687,2,ROSTER,2018 UFA,0.6
2018,21,0005,12215,2,ROSTER,2018 UFA,0.6
2018,21,0005,13056,2,ROSTER,2018 UFA,0.6
2018,21,0005,10945,1,ROSTER,Inaugural,2.06
2018,21,0005,13893,2,ROSTER,2018 UFA,0.6
2018,21,0005,12616,2,ROSTER,2018 UFA,1.1
2018,21,0005,13260,3,ROSTER,2017 4.09,0.77
2018,21,0005,12596,2,ROSTER,2018 UFA,1.1
2018,21,0005,13617,4,ROSTER,2018 1.14,2.3
2018,21,0005,13241,2,ROSTER,2018 UFA,1.1
2018,21,0005,11760,4,INJURED_RESERVE,2017 EXT,5.08
2018,21,0005,13217,1,INJURED_RESERVE,2018 UFA,1.2
2018,21,0005,8416,2,INJURED_RESERVE,2018 UFA,3.6
2018,21,0005,13297,2,INJURED_RESERVE,2018 UFA,0.6
2018,21,0005,10285,2,INJURED_RESERVE,2018 UFA,1.1
2018,21,0005,11516,2,INJURED_RESERVE,2017 FRFA,3.19
2018,21,0005,9823,2,INJURED_RESERVE,2018 UFA,1.1
2018,21,0005,13715,4,INJURED_RESERVE,2018 5.03,0.7
2018,21,0006,12697,2,ROSTER,2016 2.14,1.45
2018,21,0006,11293,3,ROSTER,Inaugural,12.1
2018,21,0006,13230,3,ROSTER,2017 2.08,1.76
2018,21,0006,10783,1,ROSTER,Inaugural,7.87
2018,21,0006,13138,2,ROSTER,2017 2.09,1.65
2018,21,0006,13131,2,ROSTER,2017 1.05,4.51
2018,21,0006,11247,2,ROSTER,Inaugural,6.29
2018,21,0006,11728,3,ROSTER,Inaugural,9.2
2018,21,0006,11757,1,ROSTER,2018 B/R,12.6
2018,21,0006,7401,2,ROSTER,2018 B/R,11.5
2018,21,0006,9549,1,ROSTER,2018 ERFA,0.66
2018,21,0006,12110,3,ROSTER,2018 SRFA,2.3
2018,21,0006,13630,4,ROSTER,2018 2.04,1.8
2018,21,0006,13595,4,ROSTER,2018 3.06,1.2
2018,21,0006,13622,4,ROSTER,2018 4.01,0.9
2018,21,0006,13418,2,ROSTER,2018 UFA,1.1
2018,21,0006,11225,1,ROSTER,2018 UFA,1.1
2018,21,0006,10264,1,ROSTER,2018 UFA,0.6
2018,21,0006,11222,2,ROSTER,Inaugural,16.34
2018,21,0006,13119,1,ROSTER,2018 UFA,0.6
2018,21,0006,13614,4,ROSTER,2018 EXT,1.68
2018,21,0006,13742,3,ROSTER,2018 UDFA,0.5
2018,21,0006,12912,2,ROSTER,2018 UFA,1.2
2018,21,0006,9820,1,ROSTER,2018 UFA,0.6
2018,21,0006,13304,2,ROSTER,2018 UFA,0.6
2018,21,0006,13424,2,ROSTER,2018 UFA,0.6
2018,21,0006,10280,2,ROSTER,2018 UFA,1.1
2018,21,0006,12298,1,ROSTER,2018 UFA,0.6
2018,21,0006,13844,1,ROSTER,2018 UFA,0.6
2018,21,0006,13246,2,ROSTER,2018 UFA,0.6
2018,21,0006,11872,2,ROSTER,2018 UFA,0.6
2018,21,0006,14012,2,ROSTER,2018 UFA,0.6
2018,21,0006,11735,2,ROSTER,2018 UFA,0.6
2018,21,0006,11957,2,ROSTER,2018 UFA,0.6
2018,21,0006,13313,2,ROSTER,2018 UFA,0.6
2018,21,0006,12657,2,ROSTER,2018 UFA,1.1
2018,21,0006,13919,2,ROSTER,2018 UFA,1.1
2018,21,0006,13929,2,ROSTER,2018 UFA,0.6
2018,21,0006,13303,2,ROSTER,2018 UFA,0.6
2018,21,0006,13666,2,ROSTER,2018 UFA,0.6
2018,21,0006,7942,2,ROSTER,2018 UFA,0.6
2018,21,0006,12264,1,ROSTER,2018 UFA,0.6
2018,21,0006,12948,2,ROSTER,2018 UFA,0.6
2018,21,0006,13801,2,ROSTER,2018 UFA,0.6
2018,21,0006,10755,2,ROSTER,2018 UFA,0.6
2018,21,0006,13636,4,INJURED_RESERVE,2018 5.04,0.7
2018,21,0006,11761,2,INJURED_RESERVE,2018 FRFA,6.4
2018,21,0006,13775,3,INJURED_RESERVE,2018 UDFA,0.5
2018,21,0006,13958,2,INJURED_RESERVE,2018 UFA,0.6
2018,21,0006,12665,2,INJURED_RESERVE,2018 UFA,1.0
2018,21,0006,13164,3,INJURED_RESERVE,2017 2.11,1.54
2018,21,0006,10738,2,INJURED_RESERVE,Inaugural,7.26
2018,21,0007,10413,2,ROSTER,Inaugural,4.24
2018,21,0007,9308,1,ROSTER,2017 UFA,1.1
2018,21,0007,11671,2,ROSTER,Inaugural,17.55
2018,21,0007,13189,2,ROSTER,2017 1.13,2.53
2018,21,0007,11045,2,ROSTER,2017 EXT,3.49
2018,21,0007,9825,1,ROSTER,Inaugural,12.71
2018,21,0007,6938,1,ROSTER,2017 UFA,1.1
2018,21,0007,10700,2,ROSTER,Inaugural,12.58
2018,21,0007,10762,2,ROSTER,2018 B/R,5.0
2018,21,0007,12308,4,ROSTER,2018 FRFA,3.1
2018,21,0007,12711,5,ROSTER,2018 ORFA,2.9
2018,21,0007,12272,3,ROSTER,2018 ORFA,4.0
2018,21,0007,8153,2,ROSTER,2018 UFA,1.1
2018,21,0007,12844,2,ROSTER,2018 UFA,0.7
2018,21,0007,12218,2,ROSTER,2018 UFA,1.1
2018,21,0007,11975,2,ROSTER,2018 UFA,1.1
2018,21,0007,12087,4,ROSTER,2018 EXT,1.98
2018,21,0007,8951,2,ROSTER,2018 UFA,1.1
2018,21,0007,13608,4,ROSTER,2018 1.05,4.2
2018,21,0007,13637,4,ROSTER,2018 3.05,1.2
2018,21,0007,12291,1,ROSTER,2018 UFA,0.6
2018,21,0007,10827,2,ROSTER,2017 ORFA,3.3
2018,21,0007,12938,2,ROSTER,2018 UFA,0.6
2018,21,0007,11314,2,ROSTER,2018 UFA,0.6
2018,21,0007,10610,1,ROSTER,2018 UFA,1.2
2018,21,0007,10379,2,ROSTER,2018 UFA,1.0
2018,21,0007,12797,1,ROSTER,2018 UFA,0.6
2018,21,0007,11742,1,ROSTER,2017 UFA,0.66
2018,21,0007,10838,2,ROSTER,2018 UFA,1.1
2018,21,0007,12140,2,ROSTER,Inaugural,18.15
2018,21,0007,8062,2,ROSTER,2018 UFA,0.6
2018,21,0007,11543,2,ROSTER,2018 UFA,0.6
2018,21,0007,11491,1,ROSTER,2018 UFA,0.6
2018,21,0007,9465,1,ROSTER,2018 UFA,0.6
2018,21,0007,11281,2,ROSTER,2018 UFA,1.1
2018,21,0007,10289,2,ROSTER,2018 UFA,0.6
2018,21,0007,10699,2,ROSTER,2018 UFA,0.6
2018,21,0007,13866,3,INJURED_RESERVE,2018 UFA,1.1
2018,21,0007,11017,2,INJURED_RESERVE,2018 UFA,1.2
2018,21,0007,10369,1,INJURED_RESERVE,2018 UFA,1.2
2018,21,0007,13328,2,INJURED_RESERVE,2018 UFA,1.1
2018,21,0007,12465,2,INJURED_RESERVE,2017 UFA,1.32
2018,21,0007,11668,3,INJURED_RESERVE,2018 SRFA,4.4
2018,21,0007,7877,1,INJURED_RESERVE,2018 UFA,1.2
