season,week,franchise_id,player_id,status,salary,contractInfo,contractYear,as_of
2025,12,0001,14892,ROSTER,6.96,2023 iEXT,2,2025-11-20
2025,12,0001,13723,ROSTER,7.26,2023 SRFA,2,2025-11-20
2025,12,0001,16226,ROSTER,1.91,2023 2.06,2,2025-11-20
2025,12,0001,14405,ROSTER,9.12,2023 iEXT,2,2025-11-20
2025,12,0001,13590,ROSTER,9.33,2021 EXT,1,2025-11-20
2025,12,0001,15366,ROSTER,6.64,2024 B/R,3,2025-11-20
2025,12,0001,14797,ROSTER,11.88,2024 UFA,2,2025-11-20
2025,12,0001,16627,ROSTER,2.75,2024 1.12,3,2025-11-20
2025,12,0001,16598,ROSTER,1.06,2024 4.06,3,2025-11-20
2025,12,0001,14947,ROSTER,3.56,2024 UFA,2,2025-11-20
2025,12,0001,15806,ROSTER,2.89,2022 1.15,1,2025-11-20
2025,12,0001,12620,ROSTER,30.53,2021 EXT,2,2025-11-20
2025,12,0001,14412,ROSTER,7.59,2024 oEXT,1,2025-11-20
2025,12,0001,16704,ROSTER,1.09,2024 4.02,3,2025-11-20
2025,12,0001,11769,ROSTER,1.0,2025 R/F,2,2025-11-20
2025,12,0001,14893,ROSTER,1.1,2024 ERFA,1,2025-11-20
2025,12,0001,16279,ROSTER,1.1,2025 ERFA,1,2025-11-20
2025,12,0001,13839,ROSTER,15.0,2025 RRFA,3,2025-11-20
2025,12,0001,11222,ROSTER,7.0,2025 RRFA,1,2025-11-20
2025,12,0001,15331,ROSTER,4.12,2024 iEXT,2,2025-11-20
2025,12,0001,17031,ROSTER,1.06,2025 4.02,4,2025-11-20
2025,12,0001,17102,ROSTER,3.33,2025 1.10,4,2025-11-20
2025,12,0001,17148,ROSTER,1.04,2025 4.04,4,2025-11-20
2025,12,0001,17115,ROSTER,1.3,2025 3.05,4,2025-11-20
2025,12,0001,17131,ROSTER,1.17,2025 3.13,4,2025-11-20
2025,12,0001,17072,ROSTER,2.05,2025 2.03,4,2025-11-20
