season,week,franchise_id,player_id,contractInfo,status,salary,contractYear,as_of
2025,18,0001,14892,2023 iEXT,ROSTER,6.96,2,2026-01-01
2025,18,0001,13723,2023 SRFA,ROSTER,7.26,2,2026-01-01
2025,18,0001,16226,2023 2.06,ROSTER,1.91,2,2026-01-01
2025,18,0001,14405,2023 iEXT,ROSTER,9.12,2,2026-01-01
2025,18,0001,13590,2021 EXT,ROSTER,9.33,1,2026-01-01
2025,18,0001,15366,2024 B/R,ROSTER,6.64,3,2026-01-01
2025,18,0001,14797,2024 UFA,ROSTER,11.88,2,2026-01-01
2025,18,0001,16627,2024 1.12,ROSTER,2.75,3,2026-01-01
2025,18,0001,16598,2024 4.06,ROSTER,1.06,3,2026-01-01
2025,18,0001,14947,2024 UFA,ROSTER,3.56,2,2026-01-01
2025,18,0001,12620,2021 EXT,ROSTER,30.53,2,2026-01-01
2025,18,0001,14412,2024 oEXT,ROSTER,7.59,1,2026-01-01
2025,18,0001,16704,2024 4.02,ROSTER,1.09,3,2026-01-01
2025,18,0001,11769,2025 R/F,ROSTER,1.0,2,2026-01-01
2025,18,0001,14893,2024 ERFA,ROSTER,1.1,1,2026-01-01
2025,18,0001,16279,2025 ERFA,ROSTER,1.1,1,2026-01-01
2025,18,0001,13839,2025 RRFA,ROSTER,15.0,3,2026-01-01
2025,18,0001,15331,2024 iEXT,ROSTER,4.12,2,2026-01-01
2025,18,0001,17031,2025 4.02,ROSTER,1.06,4,2026-01-01
2025,18,0001,17102,2025 1.10,ROSTER,3.33,4,2026-01-01
2025,18,0001,17148,2025 4.04,ROSTER,1.04,4,2026-01-01
2025,18,0001,17115,2025 3.05,ROSTER,1.3,4,2026-01-01
2025,18,0001,17131,2025 3.13,ROSTER,1.17,4,2026-01-01
2025,18,0001,16287,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0001,10266,2025 UFA,ROSTER,12.35,2,2026-01-01
2025,18,0001,15365,2025 UFA,ROSTER,8.7,1,2026-01-01
2025,18,0001,14219,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0001,14170,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0001,16165,2023 3.07,ROSTER,1.34,2,2026-01-01
2025,18,0001,15866,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0001,15380,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0001,16192,2025 UFA,ROSTER,1.9,1,2026-01-01
2025,18,0001,15727,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0001,15358,2025 UFA,ROSTER,1.8,1,2026-01-01
2025,18,0001,17097,2025 5.08,ROSTER,0.95,4,2026-01-01
2025,18,0001,17072,2025 2.03,ROSTER,2.05,4,2026-01-01
2025,18,0001,15913,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0001,15369,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0001,13431,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0001,13404,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0001,13888,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0001,14933,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0001,15890,2025 UFA,ROSTER,1.0,1,2026-01-01
2025,18,0002,14153,2025 oEXT,ROSTER,14.69,2,2026-01-01
2025,18,0002,15794,2022 3.06^,ROSTER,5.35,1,2026-01-01
2025,18,0002,15762,2022 1.13,ROSTER,3.23,1,2026-01-01
2025,18,0002,16262,2023 4.09,ROSTER,1.12,2,2026-01-01
2025,18,0002,15756,2022 1.06,ROSTER,5.75,1,2026-01-01
2025,18,0002,14802,2024 iEXT,ROSTER,17.6,2,2026-01-01
2025,18,0002,14779,2023 iEXT,ROSTER,15.14,4,2026-01-01
2025,18,0002,16251,2023 4.15,ROSTER,1.1,2,2026-01-01
2025,18,0002,14832,2024 NEFToff,ROSTER,37.73,3,2026-01-01
2025,18,0002,12225,2024 B/R,ROSTER,11.5,1,2026-01-01
2025,18,0002,16655,2024 2.16,ROSTER,1.42,3,2026-01-01
2025,18,0002,13837,2024 UFA,ROSTER,10.0,2,2026-01-01
2025,18,0002,14249,2024 UFA,ROSTER,7.5,1,2026-01-01
2025,18,0002,10783,2024 R/F,ROSTER,1.1,1,2026-01-01
2025,18,0002,14897,2024 UFA,ROSTER,21.51,3,2026-01-01
2025,18,0002,15428,2025 ERFA,ROSTER,1.1,1,2026-01-01
2025,18,0002,14669,2025 ERFA,ROSTER,1.1,1,2026-01-01
2025,18,0002,15290,2025 NEFT,ROSTER,42.24,1,2026-01-01
2025,18,0002,17116,2025 UDFA,ROSTER,0.9,3,2026-01-01
2025,18,0002,15979,2025 UFA,ROSTER,1.86,3,2026-01-01
2025,18,0002,15757,2022 3.19,ROSTER,1.3,1,2026-01-01
2025,18,0002,17161,2025 UDFA,ROSTER,0.9,3,2026-01-01
2025,18,0002,17033,2025 3.17,ROSTER,1.12,4,2026-01-01
2025,18,0002,17056,2025 5.07,ROSTER,0.95,4,2026-01-01
2025,18,0002,17138,2025 3.14,ROSTER,1.15,4,2026-01-01
2025,18,0002,16670,2024 5.13,ROSTER,0.98,3,2026-01-01
2025,18,0002,16300,2025 UFA,ROSTER,3.0,1,2026-01-01
2025,18,0002,14283,2024 R/F,ROSTER,1.1,1,2026-01-01
2025,18,0002,14997,2025 UFA,ROSTER,2.6,1,2026-01-01
