season,week,franchise_id,player_id,salary,contractYear,status,contractInfo,as_of
2025,13,0001,14892,6.96,2,ROSTER,2023 iEXT,2025-11-25
2025,13,0001,13723,7.26,2,ROSTER,2023 SRFA,2025-11-25
2025,13,0001,16226,1.91,2,ROSTER,2023 2.06,2025-11-25
2025,13,0001,14405,9.12,2,ROSTER,2023 iEXT,2025-11-25
2025,13,0001,13590,9.33,1,ROSTER,2021 EXT,2025-11-25
2025,13,0001,15366,6.64,3,ROSTER,2024 B/R,2025-11-25
2025,13,0001,14797,11.88,2,ROSTER,2024 UFA,2025-11-25
2025,13,0001,16627,2.75,3,ROSTER,2024 1.12,2025-11-25
2025,13,0001,16598,1.06,3,ROSTER,2024 4.06,2025-11-25
2025,13,0001,14947,3.56,2,ROSTER,2024 UFA,2025-11-25
2025,13,0001,15806,2.89,1,ROSTER,2022 1.15,2025-11-25
2025,13,0001,12620,30.53,2,ROSTER,2021 EXT,2025-11-25
2025,13,0001,14412,7.59,1,ROSTER,2024 oEXT,2025-11-25
2025,13,0001,16704,1.09,3,ROSTER,2024 4.02,2025-11-25
2025,13,0001,11769,1.0,2,ROSTER,2025 R/F,2025-11-25
2025,13,0001,14893,1.1,1,ROSTER,2024 ERFA,2025-11-25
2025,13,0001,16279,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0001,13839,15.0,3,ROSTER,2025 RRFA,2025-11-25
2025,13,0001,11222,7.0,1,ROSTER,2025 RRFA,2025-11-25
2025,13,0001,15331,4.12,2,ROSTER,2024 iEXT,2025-11-25
2025,13,0001,17031,1.06,4,ROSTER,2025 4.02,2025-11-25
2025,13,0001,17102,3.33,4,ROSTER,2025 1.10,2025-11-25
2025,13,0001,17148,1.04,4,ROSTER,2025 4.04,2025-11-25
2025,13,0001,17115,1.3,4,ROSTER,2025 3.05,2025-11-25
2025,13,0001,17131,1.17,4,ROSTER,2025 3.13,2025-11-25
2025,13,0001,17072,2.05,4,ROSTER,2025 2.03,2025-11-25
2025,13,0001,13782,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,16287,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,10266,12.35,2,ROSTER,2025 UFA,2025-11-25
2025,13,0001,15365,8.7,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,14219,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,14170,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,15121,1.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,16165,1.34,2,ROSTER,2023 3.07,2025-11-25
2025,13,0001,16757,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,15866,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,15380,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,14888,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,16192,1.9,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,15727,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,15358,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,16292,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,16451,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0001,17097,0.95,4,ROSTER,2025 5.08,2025-11-25
2025,13,0001,12956,1.8,1,TAXI_SQUAD,2025 UFA,2025-11-25
2025,13,0002,14153,14.69,2,ROSTER,2025 oEXT,2025-11-25
2025,13,0002,15794,5.35,1,ROSTER,2022 3.06^,2025-11-25
2025,13,0002,15762,3.23,1,ROSTER,2022 1.13,2025-11-25
2025,13,0002,16262,1.12,2,ROSTER,2023 4.09,2025-11-25
2025,13,0002,15756,5.75,1,ROSTER,2022 1.06,2025-11-25
2025,13,0002,14802,17.6,2,ROSTER,2024 iEXT,2025-11-25
2025,13,0002,14779,15.14,4,ROSTER,2023 iEXT,2025-11-25
2025,13,0002,16251,1.1,2,ROSTER,2023 4.15,2025-11-25
2025,13,0002,14832,37.73,3,ROSTER,2024 NEFToff,2025-11-25
2025,13,0002,12225,11.5,1,ROSTER,2024 B/R,2025-11-25
2025,13,0002,16655,1.42,3,ROSTER,2024 2.16,2025-11-25
2025,13,0002,13837,10.0,2,ROSTER,2024 UFA,2025-11-25
