season,week,franchise_id,player_id,status,salary,contractYear,contractInfo,as_of
2025,15,0001,14892,ROSTER,6.96,2,2023 iEXT,2025-12-13
2025,15,0001,13723,ROSTER,7.26,2,2023 SRFA,2025-12-13
2025,15,0001,16226,ROSTER,1.91,2,2023 2.06,2025-12-13
2025,15,0001,14405,ROSTER,9.12,2,2023 iEXT,2025-12-13
2025,15,0001,13590,ROSTER,9.33,1,2021 EXT,2025-12-13
2025,15,0001,15366,ROSTER,6.64,3,2024 B/R,2025-12-13
2025,15,0001,14797,ROSTER,11.88,2,2024 UFA,2025-12-13
2025,15,0001,16627,ROSTER,2.75,3,2024 1.12,2025-12-13
2025,15,0001,16598,ROSTER,1.06,3,2024 4.06,2025-12-13
2025,15,0001,14947,ROSTER,3.56,2,2024 UFA,2025-12-13
2025,15,0001,12620,ROSTER,30.53,2,2021 EXT,2025-12-13
2025,15,0001,14412,ROSTER,7.59,1,2024 oEXT,2025-12-13
2025,15,0001,16704,ROSTER,1.09,3,2024 4.02,2025-12-13
2025,15,0001,11769,ROSTER,1.0,2,2025 R/F,2025-12-13
2025,15,0001,14893,ROSTER,1.1,1,2024 ERFA,2025-12-13
2025,15,0001,16279,ROSTER,1.1,1,2025 ERFA,2025-12-13
2025,15,0001,13839,ROSTER,15.0,3,2025 RRFA,2025-12-13
2025,15,0001,11222,ROSTER,7.0,1,2025 RRFA,2025-12-13
2025,15,0001,15331,ROSTER,4.12,2,2024 iEXT,2025-12-13
2025,15,0001,17031,ROSTER,1.06,4,2025 4.02,2025-12-13
2025,15,0001,17102,ROSTER,3.33,4,2025 1.10,2025-12-13
2025,15,0001,17148,ROSTER,1.04,4,2025 4.04,2025-12-13
2025,15,0001,17115,ROSTER,1.3,4,2025 3.05,2025-12-13
2025,15,0001,17131,ROSTER,1.17,4,2025 3.13,2025-12-13
2025,15,0001,13782,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0001,16287,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0001,10266,ROSTER,12.35,2,2025 UFA,2025-12-13
2025,15,0001,15365,ROSTER,8.7,1,2025 UFA,2025-12-13
2025,15,0001,14219,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0001,14170,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0001,15121,ROSTER,1.1,1,2025 UFA,2025-12-13
2025,15,0001,16165,ROSTER,1.34,2,2023 3.07,2025-12-13
