season,week,franchise_id,player_id,salary,contractInfo,status,contractYear,as_of
2025,17,0001,14892,6.96,2023 iEXT,ROSTER,2,2025-12-25
2025,17,0001,13723,7.26,2023 SRFA,ROSTER,2,2025-12-25
2025,17,0001,16226,1.91,2023 2.06,ROSTER,2,2025-12-25
2025,17,0001,14405,9.12,2023 iEXT,ROSTER,2,2025-12-25
2025,17,0001,13590,9.33,2021 EXT,ROSTER,1,2025-12-25
2025,17,0001,15366,6.64,2024 B/R,ROSTER,3,2025-12-25
2025,17,0001,14797,11.88,2024 UFA,ROSTER,2,2025-12-25
2025,17,0001,16627,2.75,2024 1.12,ROSTER,3,2025-12-25
2025,17,0001,16598,1.06,2024 4.06,ROSTER,3,2025-12-25
2025,17,0001,14947,3.56,2024 UFA,ROSTER,2,2025-12-25
2025,17,0001,12620,30.53,2021 EXT,ROSTER,2,2025-12-25
2025,17,0001,14412,7.59,2024 oEXT,ROSTER,1,2025-12-25
2025,17,0001,16704,1.09,2024 4.02,ROSTER,3,2025-12-25
2025,17,0001,11769,1.0,2025 R/F,ROSTER,2,2025-12-25
2025,17,0001,14893,1.1,2024 ERFA,ROSTER,1,2025-12-25
2025,17,0001,16279,1.1,2025 ERFA,ROSTER,1,2025-12-25
2025,17,0001,13839,15.0,2025 RRFA,ROSTER,3,2025-12-25
2025,17,0001,15331,4.12,2024 iEXT,ROSTER,2,2025-12-25
2025,17,0001,17031,1.06,2025 4.02,ROSTER,4,2025-12-25
2025,17,0001,17102,3.33,2025 1.10,ROSTER,4,2025-12-25
2025,17,0001,17148,1.04,2025 4.04,ROSTER,4,2025-12-25
2025,17,0001,17115,1.3,2025 3.05,ROSTER,4,2025-12-25
2025,17,0001,17131,1.17,2025 3.13,ROSTER,4,2025-12-25
2025,17,0001,16287,1.8,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,10266,12.35,2025 UFA,ROSTER,2,2025-12-25
2025,17,0001,15365,8.7,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,14219,1.8,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,14170,1.8,2025 UFA,ROSTER,1,2025-12-25
2025,17,0001,16165,1.34,2023 3.07,ROSTER,2,2025-12-25
