position,player,conference,salary,asof,source_doc,tab name
QB,"Mahomes, Patrick KCC QB",NFC,37.71,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Henry, Derrick BAL RB",AFC,27.84,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Evans, Mike TBB WR",NFC,42.24,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Kelce, Travis KCC TE",AFC,30.25,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Dickson, Michael SEA PN",AFC,4.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Boswell, Chris PIT PK",AFC,3.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Dickson, Michael SEA PN",AFC,4.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Brown, Derrick CAR DT",NFC,21.51,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Bosa, Nick SFO DE",AFC,24.61,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Luvu, Frankie WAS LB",AFC,20.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Taylor, Alontae NOS CB",NFC,6.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Winfield, Antoine TBB S",NFC,14.03,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Hurts, Jalen PHI QB",AFC,37.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Henry, Derrick BAL RB",NFC,26.48,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Collins, Nico HOU WR",NFC,42.24,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Kittle, George SFO TE",NFC,24.75,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Cole, A.J. LVR PN",AFC,3.63,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Butker, Harrison KCC PK",AFC,2.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Cole, A.J. LVR PN",AFC,3.63,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Buckner, DeForest IND DT",NFC,19.75,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
