season,contractInfo,contractYear,salary,id,conference
2021,2021 UFA,1,,0000,0
2021,2019 3.01,2,1.52,14184,0
2021,2021 NEFT,1,26.82,11675,0
2021,2020 EXT,2,8.23,13230,0
2021,2020 UFA,1,0.88,14185,0
2021,2021 UDFA,2,0.73,15394,0
2021,2021 SRFA,2,3.40,12181,0
2021,2021 UFA,1,0.90,13308,0
2021,2020 2.04,3,1.55,14840,0
2021,2020 1.10,3,2.72,14799,0
2021,2021 UFA,1,1.20,14590,0
2021,2021 UFA,1,0.90,12233,0
2021,2021 UFA,1,0.90,12621,0
2021,2020 EXT,2,6.55,13208,0
2021,2021 EXT,6,16.91,13589,0
2021,2019 1.14,2,2.67,14167,0
2021,2021 UFA,2,15,11222,0
2021,2019 4.14,2,0.92,14153,0
2021,2018 FRFA,1,4.12,12308,0
2021,2021 UFA,1,0.90,12930,0
2021,2020 EXT,4,11.07,13671,0
2021,2021 UFA,1,0.90,10814,0
2021,2019 EXT,2,7.87,12218,0
2021,2021 UFA,1,0.90,13759,0
2021,2020 UFA,1,0.88,13880,0
2021,2021 3.07,3,1.02,15301,0
2021,2021 UFA,1,0.90,13263,0
2021,2019 6.16,2,0.68,14256,0
2021,2021 NEFT,1,8.53,13251,0
2021,2020 EXT,3,2.87,13706,0
2021,2021 EXT,5,9.81,13604,0
2021,2021 3.04,4,1.06,15357,0
2021,2021 3.21,3,0.89,15409,0
2021,2020 UFA,1,0.88,15082,0
2021,2021 UFA,2,1.50,13201,0
2021,2021 UFA,1,1.20,11720,0
2021,2021 ERFA,1,0.90,12075,0
2021,2021 3.18,3,0.91,15348,0
2021,2020 UFA,2,0.88,14983,0
2021,2021 2.01,4,1.73,15293,0
2021,2018 6.02^,1,3.38,13737,0
2021,2020 3.12,3,0.97,14893,0
2021,2021 UFA,1,1,10973,0
2021,2019 EXT,3,8.37,11679,0
2021,2021 UFA,2,5,12718,0
2021,2020 R/F,1,0.88,13775,0
2021,2020 UFA,1,1.43,13638,0
2021,2021 UFA,1,0.90,13869,0
2021,2021 2.13,4,1.20,15355,0
2021,2020 UFA,1,1.43,12629,0
2021,2021 B/R,3,14.50,12686,0
2021,2019 1.04,2,5.61,14147,0
2021,2021 UFA,1,1,11936,0
2021,2020 UFA,1,1.43,13418,0
2021,2021 UFA,1,,14843,0
2021,2021 UFA,1,1.20,13256,0
2021,2020 EXT,3,6.60,12650,0
2021,2020 UFA,2,1.54,12750,0
2021,2021 UFA,2,15,5848,0
2021,2021 UFA,1,0.90,11788,0
2021,2021 UFA,1,0.90,13378,0
2021,2021 UFA,1,1,11640,0
2021,2021 ERFA,1,0.90,10763,0
2021,2020 3.06,3,1.03,14892,0
2021,2019 1.15,2,2.56,14104,0
2021,2021 UFA,1,0.90,12817,0
2021,2020 UFA,1,2.20,9988,0
2021,2020 2.10,3,1.29,14897,0
2021,2021 3.11,4,0.97,15292,0
2021,2021 FRFA,3,4.80,13304,0
2021,2021 UFA,1,0.90,12173,0
2021,2019 2.03,2,2.19,14105,0
2021,2021 4.15,4,0.82,15356,0
2021,2020 EXT,4,12.36,12688,0
2021,2021 UFA,1,0.90,11182,0
2021,2019 2.08,2,1.89,14171,0
2021,2020 1.02,3,6.77,14777,0
2021,2019 1.08,2,3.84,14170,0
