season,id,salary,contractYear,contractInfo,conference
2023,0000,,1,2023 UFA,0
2023,16168,0.95,4,2023 4.06,0
2023,16305,0.81,3,2023 UDFA,0
2023,16167,1.83,4,2023 2.02,0
2023,11675,22.50,3,2023 UFA,0
2023,13230,2.74,3,2023 ORFA2,0
2023,16186,3.36,4,2023 1.08,0
2023,16291,0.86,4,2023 5.20,0
2023,15394,0.90,2,2023 R/F,0
2023,14840,17,6,2023 iEXT,0
2023,14799,3.29,1,2020 1.10,0
2023,14590,0.90,2,2023 R/F,0
2023,13730,0.99,1,2022 R/F,0
2023,12233,1.40,1,2023 UFA,0
2023,16219,1.40,1,2023 UFA,0
2023,13208,7.93,2,2022 oEXT,0
2023,13589,20.46,4,2021 EXT,0
2023,14167,12.35,4,2022 iEXT,0
2023,11222,20.70,1,2023 RRFA,0
2023,14153,5.28,2,2022 iEXT,0
2023,15712,1.19,3,2022 3.09,0
2023,15858,1.30,3,2022 3.03,0
2023,16223,2.65,4,2023 1.11,0
2023,13671,13.40,2,2020 EXT,0
2023,16257,1.18,4,2023 3.03,0
2023,13268,0.99,1,2022 R/F,0
2023,15911,1.10,3,2022 3.15,0
2023,12218,3.04,2,2023 UFA,0
2023,13759,0.90,1,2023 UFA,0
2023,15829,0.94,2,2022 5.05,0
2023,15301,1.23,1,2021 3.07,0
2023,16414,1.50,3,2023 iEXT,0
2023,15777,0.95,2,2022 4.17,0
2023,12083,0.99,1,2022 R/F,0
2023,13263,0.90,1,2023 UFA,0
2023,16384,0.90,1,2023 UFA,0
2023,13251,6.60,2,2022 UFA,0
2023,13706,3.48,1,2020 EXT,0
2023,14263,0.90,1,2023 UFA,0
2023,16255,0.87,4,2023 5.12,0
2023,16330,0.86,4,2023 5.18,0
2023,13604,11.87,3,2021 EXT,0
2023,15357,1.29,2,2021 3.04,0
2023,15409,0.90,1,2023 UFA,0
2023,15082,0.90,1,2023 UFA,0
2023,12075,6.12,2,2022 FRFA,0
2023,14217,0.99,1,2022 R/F,0
2023,15293,2.09,2,2021 2.01,0
2023,13737,3.63,2,2022 UFA,0
2023,16245,1.03,4,2023 3.14,0
2023,11679,6,1,2023 UFA,0
2023,15758,1.35,3,2022 3.01,0
2023,15985,0.90,1,2023 UFA,0
2023,12718,2.38,2,2023 UFA,0
2023,15873,0.90,1,2023 UFA,0
2023,16153,0.88,4,2023 5.04,0
2023,13775,1.40,1,2023 UFA,0
2023,16264,0.87,4,2023 5.08,0
2023,15869,0.90,2,2023 R/F,0
2023,16164,1.13,3,2023 3.06,0
2023,14933,0.99,1,2022 R/F,0
2023,15904,1.50,2,2023 oEXT,0
2023,16018,0.90,2,2023 R/F,0
2023,16393,1.40,1,2023 UFA,0
2023,13869,0.90,2,2023 R/F,0
2023,15355,1.45,2,2021 2.13,0
2023,15861,0.99,3,2022 4.08,0
2023,12686,16.50,1,2022 B/R,0
2023,14147,16,5,2023 UFA,0
2023,13418,1.40,1,2023 UFA,0
2023,16193,0.90,1,2023 UFA,0
2023,14843,0.90,-1,2021 UFA,0
2023,12650,7.99,1,2020 EXT,0
2023,12750,1.86,3,2023 oEXT,0
2023,16244,0.97,4,2023 4.02,0
2023,16261,0.81,3,2023 UDFA,0
2023,16256,1.22,4,2023 3.01,0
2023,15835,1.51,3,2022 2.12,0
2023,14892,5.75,4,2023 iEXT,0
2023,16324,0.81,3,2023 UDFA,0
2023,14104,24.22,1,2023 5YO,0
2023,16181,1,4,2023 3.17,0
2023,14897,2.74,1,2020 2.10^,0
2023,15292,1.18,2,2021 3.11,0
2023,16281,0.87,4,2023 5.10,0
2023,14105,9.90,3,2023 UFA,0
2023,13172,2.10,1,2023 UFA,0
2023,16271,1.09,4,2023 3.09,0
2023,15356,0.99,2,2021 4.15,0
2023,14358,1.50,1,2023 UFA,0
2023,15177,1.50,1,2023 UFA,0
2023,12688,14.96,2,2020 EXT,0
2023,15752,4.28,3,2022 1.07,0
2023,14171,10.20,4,2023 UFA,0
2023,14777,20.26,5,2023 iEXT,0
2023,13354,0.90,2,2023 R/F,0
2023,15874,1.50,1,2023 UFA,0
2023,12752,3.63,1,2021 B/R,0
2023,15418,0.99,1,2022 R/F,0
