season,salary,id,contractInfo,contractYear,conference
2024,,0000,2024 UFA,1,0
2024,1.04,16168,2023 4.06,3,0
2024,2.01,16167,2023 2.02,3,0
2024,24.75,11675,2023 UFA,2,0
2024,1,16014,2024 R/F,2,0
2024,3.70,16186,2023 1.08,3,0
2024,0.99,15394,2023 R/F,1,0
2024,18.70,14840,2023 iEXT,5,0
2024,1,14799,2024 UFA,1,0
2024,0.99,14590,2023 R/F,1,0
2024,0.89,16645,2024 5.20,4,0
2024,1.04,16596,2024 3.16,4,0
2024,8.72,13208,2022 oEXT,1,0
2024,22.51,13589,2021 EXT,3,0
2024,5.70,11222,2024 UFA,1,0
2024,5.81,14153,2022 iEXT,1,0
2024,1.31,15712,2022 3.09,2,0
2024,1,14236,2024 UFA,1,0
2024,1.43,15858,2022 3.03,2,0
2024,1.79,16942,2024 iEXT,3,0
2024,2.92,16223,2023 1.11,3,0
2024,1,16872,2024 UFA,1,0
2024,14.74,13671,2020 EXT,1,0
2024,1.30,16257,2023 3.03,3,0
2024,1.09,13268,2024 ERFA,1,0
2024,1.10,15911,2024 UFA,1,0
2024,3.34,12218,2023 UFA,1,0
2024,1.60,13759,2024 UFA,1,0
2024,0.94,16671,2024 4.10,4,0
2024,1.60,15301,2024 UFA,1,0
2024,1.65,16414,2023 iEXT,2,0
2024,1.04,15777,2022 4.17,1,0
2024,1.09,12083,2024 ERFA,1,0
2024,1,13263,2024 UFA,1,0
2024,2.70,13251,2024 B/R,3,0
2024,1.15,16637,2024 3.07,4,0
2024,4.28,13706,2024 UFA,2,0
2024,0.96,16255,2023 5.12,3,0
2024,0.95,16330,2023 5.18,3,0
2024,13.06,13604,2021 EXT,2,0
2024,3.12,15357,2021 3.04^,1,0
2024,1.10,16723,2024 UFA,1,0
2024,1,15409,2024 UFA,1,0
2024,1.10,13201,2024 UFA,1,0
2024,1.10,14217,2024 UFA,1,0
2024,1,14983,2024 UFA,1,0
2024,4.14,15293,2024 iEXT,5,0
2024,1,16846,2024 UFA,1,0
2024,3.99,13737,2022 UFA,1,0
2024,1.13,16245,2023 3.14,3,0
2024,1,14893,2024 UFA,1,0
2024,1,15875,2024 UFA,1,0
2024,1,15913,2024 R/F,2,0
2024,2.04,16594,2024 1.16,4,0
2024,0.96,16264,2023 5.08,3,0
