salary,id,contractInfo,contractYear,conference
,0000,2025 UFA,1,0
1.14,16168,2023 4.06,2,0
2.21,16167,2023 2.02,2,0
27.23,11675,2023 UFA,1,0
1.10,16014,2024 R/F,1,0
4.07,16186,2023 1.08,2,0
1.09,15394,2025 ERFA,1,0
20.57,14840,2023 iEXT,4,0
1.09,14590,2025 ERFA,1,0
0.94,17154,2025 5.20,4,0
1,13730,2025 R/F,2,0
1,16012,2025 R/F,2,0
0.98,16645,2024 5.20,3,0
1.14,16596,2024 3.16,3,0
1,16219,2025 R/F,2,0
12.60,13208,2025 UFA,1,0
24.76,13589,2021 EXT,2,0
7,11222,2025 RRFA,1,0
0.90,17061,2025 UDFA,3,0
14.69,14153,2025 oEXT,2,0
1.44,15712,2022 3.09,1,0
1.80,14236,2025 UFA,1,0
0.90,17130,2025 UDFA,3,0
1.57,15858,2022 3.03,1,0
3.21,16223,2023 1.11,2,0
12.50,13671,2025 UFA,1,0
1,10814,2025 R/F,1,0
1.43,16257,2023 3.03,2,0
3.41,13268,2025 ORFA4,1,0
1,15911,2025 UFA,1,0
1.80,13759,2025 UFA,1,0
1.03,16671,2024 4.10,3,0
1.25,17108,2025 3.08,4,0
3.41,15301,2025 ORFA3,2,0
1.81,16414,2023 iEXT,1,0
2.38,15777,2025 UFA,2,0
1.10,17073,2025 3.19,4,0
1.80,15049,2025 UFA,1,0
1,16384,2025 UFA,1,0
2.97,13251,2024 B/R,2,0
1.26,16637,2024 3.07,3,0
4.71,13706,2024 UFA,1,0
1.06,16255,2023 5.12,2,0
1.04,16330,2023 5.18,2,0
14.37,13604,2021 EXT,1,0
12.45,15357,2025 UFA,2,0
1.90,16723,2025 UFA,1,0
1.07,17128,2025 4.01,4,0
0.90,17231,2025 UDFA,3,0
4.50,14217,2025 UFA,3,0
0.90,17203,2025 UDFA,3,0
4.55,15293,2024 iEXT,4,0
1.10,16846,2025 ERFA,1,0
8.87,13737,2025 NEFT,1,0
1.24,16245,2023 3.14,2,0
1.10,14893,2024 ERFA,1,0
1.98,17078,2025 2.04,4,0
1.10,15913,2024 R/F,1,0
2.24,16594,2024 1.16,3,0
1.06,16264,2023 5.08,2,0
1.09,15869,2025 ERFA,1,0
1.36,16164,2023 3.06,1,0
1.20,16700,2024 3.12,3,0
0.90,17209,2025 UDFA,3,0
1.80,14933,2025 UFA,1,0
4.80,15904,2025 UFA,1,0
1.09,16018,2025 ERFA,1,0
1.35,17069,2025 3.03,4,0
1,16393,2025 R/F,2,0
1.09,13869,2025 ERFA,1,0
6.75,15355,2025 UFA,2,0
0.90,17076,2025 UDFA,3,0
5.39,15861,2024 iEXT,3,0
1.00,16734,2024 4.19,3,0
0.90,17220,2025 UDFA,3,0
5.43,12686,2024 UFA,1,0
19.36,14147,2023 UFA,3,0
1.90,11936,2025 UFA,2,0
1,13418,2025 UFA,1,0
3.50,16193,2025 UFA,1,0
4.02,16641,2024 1.07,3,0
0.93,17179,2025 5.23,4,0
1.18,16244,2023 4.02,2,0
1.09,16656,2024 4.01,3,0
0.98,16261,2023 UDFA,1,0
1.47,16256,2023 3.01,2,0
3.41,15835,2022 2.12^,1,0
1,16387,2025 UFA,1,0
2.46,16597,2024 1.14,3,0
6.96,14892,2023 iEXT,2,0
1.10,16324,2025 ERFA,1,0
0.94,17058,2025 5.13,4,0
0.90,17158,2025 UDFA,3,0
33.28,14104,2024 oEXT,2,0
1,15412,2025 UFA,1,0
1.21,16181,2023 3.17,2,0
21.51,14897,2024 UFA,3,0
1,15292,2025 R/F,2,0
1.06,16281,2023 5.10,2,0
11.98,14105,2023 UFA,1,0
1,13172,2025 R/F,2,0
1.20,13994,2025 UFA,1,0
1.32,16271,2023 3.09,2,0
1,15356,2025 UFA,1,0
1,16736,2025 R/F,2,0
1.10,15872,2025 ERFA,1,0
1.08,17082,2025 3.21,4,0
0.90,17185,2025 UDFA,3,0
19.75,12688,2025 NEFT,1,0
1.18,16677,2024 3.13,3,0
0.99,16705,2024 5.01,3,0
0.90,17161,2025 UDFA,3,0
2.23,17070,2025 2.01,4,0
1,13750,2025 R/F,2,0
10.89,14171,2024 B/R,2,0
24.52,14777,2023 iEXT,3,0
1.47,16632,2024 2.14,3,0
1,14170,2025 UFA,1,0
1,13354,2025 R/F,1,0
5.40,13448,2025 UFA,1,0
