season,contractInfo,contractYear,salary,id,conference
2025,2025 UFA,1,,0000,0
2025,2023 4.06,2,1.14,16168,0
2025,2023 2.02,2,2.21,16167,0
2025,2023 UFA,1,27.23,11675,0
2025,2024 R/F,1,1.10,16014,0
2025,2023 1.08,2,4.07,16186,0
2025,2025 ERFA,1,1.09,15394,0
2025,2023 iEXT,4,20.57,14840,0
2025,2025 ERFA,1,1.09,14590,0
2025,2025 5.20,4,0.94,17154,0
2025,2025 R/F,2,1,13730,0
2025,2025 R/F,2,1,16012,0
2025,2024 5.20,3,0.98,16645,0
2025,2024 3.16,3,1.14,16596,0
2025,2025 R/F,2,1,16219,0
2025,2025 UFA,1,12.60,13208,0
2025,2021 EXT,2,24.76,13589,0
2025,2025 RRFA,1,7,11222,0
2025,2025 UDFA,3,0.90,17061,0
2025,2025 oEXT,2,14.69,14153,0
2025,2022 3.09,1,1.44,15712,0
2025,2025 UFA,1,1.80,14236,0
2025,2025 UDFA,3,0.90,17130,0
2025,2022 3.03,1,1.57,15858,0
2025,2023 1.11,2,3.21,16223,0
2025,2025 UFA,1,12.50,13671,0
2025,2025 R/F,1,1,10814,0
2025,2023 3.03,2,1.43,16257,0
2025,2025 ORFA4,1,3.41,13268,0
2025,2025 UFA,1,1,15911,0
2025,2025 UFA,1,1.80,13759,0
2025,2024 4.10,3,1.03,16671,0
2025,2025 3.08,4,1.25,17108,0
2025,2025 ORFA3,2,3.41,15301,0
2025,2023 iEXT,1,1.81,16414,0
2025,2025 UFA,2,2.38,15777,0
2025,2025 3.19,4,1.10,17073,0
2025,2025 UFA,1,1.80,15049,0
2025,2025 UFA,1,1,16384,0
2025,2024 B/R,2,2.97,13251,0
2025,2024 3.07,3,1.26,16637,0
2025,2024 UFA,1,4.71,13706,0
2025,2023 5.12,2,1.06,16255,0
2025,2023 5.18,2,1.04,16330,0
2025,2021 EXT,1,14.37,13604,0
2025,2025 UFA,2,12.45,15357,0
2025,2025 UFA,1,1.90,16723,0
2025,2025 4.01,4,1.07,17128,0
2025,2025 UDFA,3,0.90,17231,0
2025,2025 UFA,3,4.50,14217,0
2025,2025 UDFA,3,0.90,17203,0
2025,2024 iEXT,4,4.55,15293,0
2025,2025 ERFA,1,1.10,16846,0
2025,2025 NEFT,1,8.87,13737,0
2025,2023 3.14,2,1.24,16245,0
2025,2024 ERFA,1,1.10,14893,0
2025,2025 2.04,4,1.98,17078,0
2025,2024 R/F,1,1.10,15913,0
2025,2024 1.16,3,2.24,16594,0
2025,2023 5.08,2,1.06,16264,0
2025,2025 ERFA,1,1.09,15869,0
2025,2023 3.06,1,1.36,16164,0
2025,2024 3.12,3,1.20,16700,0
2025,2025 UDFA,3,0.90,17209,0
2025,2025 UFA,1,1.80,14933,0
2025,2025 UFA,1,4.80,15904,0
2025,2025 ERFA,1,1.09,16018,0
2025,2025 3.03,4,1.35,17069,0
2025,2025 R/F,2,1,16393,0
2025,2025 ERFA,1,1.09,13869,0
2025,2025 UFA,2,6.75,15355,0
2025,2025 UDFA,3,0.90,17076,0
2025,2024 iEXT,3,5.39,15861,0
2025,2024 4.19,3,1.00,16734,0
2025,2025 UDFA,3,0.90,17220,0
2025,2024 UFA,1,5.43,12686,0
2025,2023 UFA,3,19.36,14147,0
2025,2025 UFA,2,1.90,11936,0
2025,2025 UFA,1,1,13418,0
2025,2025 UFA,1,3.50,16193,0
2025,2024 1.07,3,4.02,16641,0
2025,2025 5.23,4,0.93,17179,0
2025,2023 4.02,2,1.18,16244,0
2025,2024 4.01,3,1.09,16656,0
2025,2023 UDFA,1,0.98,16261,0
2025,2023 3.01,2,1.47,16256,0
2025,2022 2.12^,1,3.41,15835,0
2025,2025 UFA,1,1,16387,0
2025,2024 1.14,3,2.46,16597,0
2025,2023 iEXT,2,6.96,14892,0
2025,2025 ERFA,1,1.10,16324,0
2025,2025 5.13,4,0.94,17058,0
2025,2025 UDFA,3,0.90,17158,0
2025,2024 oEXT,2,33.28,14104,0
2025,2025 UFA,1,1,15412,0
2025,2023 3.17,2,1.21,16181,0
2025,2024 UFA,3,21.51,14897,0
2025,2025 R/F,2,1,15292,0
2025,2023 5.10,2,1.06,16281,0
2025,2023 UFA,1,11.98,14105,0
2025,2025 R/F,2,1,13172,0
2025,2025 UFA,1,1.20,13994,0
2025,2023 3.09,2,1.32,16271,0
2025,2025 UFA,1,1,15356,0
2025,2025 R/F,2,1,16736,0
2025,2025 ERFA,1,1.10,15872,0
2025,2025 3.21,4,1.08,17082,0
2025,2025 UDFA,3,0.90,17185,0
2025,2025 NEFT,1,19.75,12688,0
2025,2024 3.13,3,1.18,16677,0
2025,2024 5.01,3,0.99,16705,0
2025,2025 UDFA,3,0.90,17161,0
2025,2025 2.01,4,2.23,17070,0
2025,2025 R/F,2,1,13750,0
2025,2024 B/R,2,10.89,14171,0
2025,2023 iEXT,3,24.52,14777,0
2025,2024 2.14,3,1.47,16632,0
2025,2025 UFA,1,1,14170,0
2025,2025 R/F,1,1,13354,0
2025,2025 UFA,1,5.40,13448,0
2025,2025 UFA,2,3.80,12752,0
2025,2025 UFA,2,5.70,15418,0
2025,2025 UDFA,3,0.90,17165,0
2025,2025 RRFA,1,7,9051,0
2025,2023 1.14,2,2.66,16239,0
2025,2025 2.05,4,1.91,17123,0
2025,2025 ERFA,1,1.10,16738,0
2025,2025 ERFA,1,1.10,13718,0
2025,2024 UDFA,2,0.94,16753,0
2025,2025 1.09,4,3.61,17112,0
2025,2025 UDFA,3,0.90,17124,0
2025,2023 1.12,2,3.00,16233,0
2025,2025 RRFA,1,10,14251,0
2025,2023 2.01,2,2.31,16169,0
2025,2025 NEFT,1,42.24,15281,0
2025,2022 4.02,1,1.24,15831,0
2025,2024 UFA,1,2.09,14927,0
2025,2025 UFA,1,1.80,17269,0
2025,2025 UFA,1,9.20,13681,0
2025,2025 UFA,1,2.70,13610,0
2025,2024 UFA,2,1.87,15364,0
2025,2024 UFA,2,4.75,12739,0
2025,2024 iEXT,5,4.64,16809,0
2025,2025 UFA,2,1.86,14630,0
2025,2024 1.11,3,2.93,16617,0
2025,2025 4.04,4,1.04,17148,0
2025,2025 UFA,1,1,17303,0
2025,2025 R/F,2,1,12754,0
2025,2025 NEFT,1,42.24,15290,0
2025,2025 oEXT,2,2.64,15352,0
2025,2024 2.07,3,1.75,16665,0
2025,2025 R/F,2,1,13675,0
2025,2025 UFA,1,1,16295,0
2025,2025 oEXT,2,17.71,13146,0
2025,2022 4.14,1,1.18,15860,0
2025,2022 2.02^,1,3.41,15715,0
2025,2025 ERFA,1,1.10,13844,0
2025,2025 UFA,1,1.80,11674,0
2025,2025 B/R,1,7,12175,0
2025,2024 2.15,3,1.44,16696,0
2025,2024 SRFA,1,5.38,15484,0
2025,2024 2.13,3,1.51,16636,0
2025,2024 3.03,3,1.35,16593,0
2025,2024 UFA,1,15.68,10700,0
2025,2024 5.10,3,0.98,16640,0
2025,2025 UDFA,3,0.90,17241,0
2025,2024 iEXT,4,24.24,14225,0
2025,2025 UDFA,3,0.90,17256,0
2025,2024 R/F,1,1.10,15839,0
2025,2024 UDFA,2,0.94,16796,0
2025,2024 oEXT,3,2.62,15001,0
2025,2024 1.09,3,3.38,16581,0
2025,2025 UFA,1,1.80,14978,0
2025,2024 R/F,1,1.10,13592,0
2025,2025 2.02,4,2.14,17032,0
2025,2025 R/F,2,1,13688,0
2025,2024 SRFA,1,5.38,10768,0
2025,2025 UFA,1,1.80,14911,0
2025,2025 oEXT,1,2.26,13710,0
2025,2024 UFA,2,3.07,10816,0
2025,2025 UFA,1,1,16752,0
2025,2022 2.15,1,1.71,15817,0
2025,2024 4.05,3,1.07,16603,0
2025,2025 ERFA,1,1.10,14943,0
2025,2024 3.17,3,1.13,16675,0
2025,2024 oEXT,1,2.05,15396,0
2025,2025 UFA,1,1.80,14219,0
2025,2022 2.09^,1,5.35,15821,0
2025,2023 3.15,2,1.23,16204,0
2025,2024 iEXT,2,2.71,14907,0
2025,2023 UDFA,1,0.98,16314,0
2025,2023 5.03,2,1.07,16265,0
2025,2023 UDFA,1,0.98,16278,0
2025,2025 UFA,3,1.86,15979,0
2025,2025 UFA,1,1.80,13782,0
2025,2024 UFA,2,22.77,12186,0
2025,2025 UFA,1,1.90,14903,0
2025,2025 5.14,4,0.94,17171,0
2025,2024 R/F,1,1.10,13763,0
2025,2025 R/F,2,1,12842,0
