season,contractInfo,id,salary,contractYear,conference
2025,2025 UFA,0000,,1,0
2025,2023 2.02,16167,2.21,2,0
2025,2023 UFA,11675,27.23,1,0
2025,2024 R/F,16014,1.10,1,0
2025,2023 1.08,16186,4.07,2,0
2025,2025 ERFA,15394,1.09,1,0
2025,2023 iEXT,14840,20.57,4,0
2025,2025 ERFA,14590,1.09,1,0
2025,2025 5.20,17154,0.94,4,0
2025,2025 R/F,13730,1,2,0
2025,2025 R/F,16012,1,2,0
2025,2024 5.20,16645,0.98,3,0
2025,2024 3.16,16596,1.14,3,0
2025,2025 UFA,13208,12.60,1,0
2025,2021 EXT,13589,24.76,2,0
2025,2025 RRFA,11222,7,1,0
2025,2025 UDFA,17061,0.90,3,0
2025,2025 oEXT,14153,14.69,2,0
2025,2022 3.09,15712,1.44,1,0
2025,2025 UDFA,17130,0.90,3,0
2025,2022 3.03,15858,1.57,1,0
2025,2023 1.11,16223,3.21,2,0
2025,2025 UFA,13671,12.50,1,0
2025,2025 R/F,10814,1,1,0
2025,2023 3.03,16257,1.43,2,0
2025,2025 ORFA4,13268,3.41,1,0
2025,2025 UFA,15911,1,1,0
2025,2025 UFA,13759,1.80,1,0
2025,2024 4.10,16671,1.03,3,0
2025,2025 3.08,17108,1.25,4,0
2025,2025 ORFA3,15301,3.41,2,0
2025,2023 iEXT,16414,1.81,1,0
2025,2025 UFA,15777,2.38,2,0
2025,2025 3.19,17073,1.10,4,0
2025,2025 UFA,15049,1.80,1,0
2025,2025 UFA,16384,1,1,0
2025,2024 B/R,13251,2.97,2,0
2025,2023 5.12,16255,1.06,2,0
2025,2023 5.18,16330,1.04,2,0
2025,2021 EXT,13604,14.37,1,0
2025,2025 UFA,15357,12.45,2,0
2025,2025 UFA,16723,1.90,1,0
2025,2025 4.01,17128,1.07,4,0
2025,2025 UDFA,17231,0.90,3,0
2025,2025 UFA,14217,4.50,3,0
2025,2024 iEXT,15293,4.55,4,0
2025,2025 ERFA,16846,1.10,1,0
2025,2025 NEFT,13737,8.87,1,0
2025,2023 3.14,16245,1.24,2,0
2025,2024 ERFA,14893,1.10,1,0
2025,2025 2.04,17078,1.98,4,0
2025,2024 R/F,15913,1.10,1,0
2025,2024 1.16,16594,2.24,3,0
2025,2023 5.08,16264,1.06,2,0
2025,2025 ERFA,15869,1.09,1,0
2025,2023 3.06,16164,1.36,1,0
2025,2024 3.12,16700,1.20,3,0
2025,2025 UDFA,17209,0.90,3,0
2025,2025 UFA,14933,1.80,1,0
2025,2025 UFA,15904,4.80,1,0
2025,2025 ERFA,16018,1.09,1,0
2025,2025 3.03,17069,1.35,4,0
2025,2025 R/F,16393,1,2,0
2025,2025 ERFA,13869,1.09,1,0
2025,2025 UFA,15355,6.75,2,0
2025,2025 UDFA,17076,0.90,3,0
2025,2024 iEXT,15861,5.39,3,0
2025,2024 4.19,16734,1.00,3,0
2025,2024 UFA,12686,5.43,1,0
2025,2023 UFA,14147,19.36,3,0
2025,2025 UFA,11936,1.90,2,0
2025,2025 UFA,16193,3.50,1,0
2025,2024 1.07,16641,4.02,3,0
2025,2025 5.23,17179,0.93,4,0
2025,2023 4.02,16244,1.18,2,0
2025,2024 4.01,16656,1.09,3,0
2025,2023 3.01,16256,1.47,2,0
2025,2022 2.12^,15835,3.41,1,0
2025,2024 1.14,16597,2.46,3,0
2025,2023 iEXT,14892,6.96,2,0
2025,2025 ERFA,16324,1.10,1,0
2025,2025 5.13,17058,0.94,4,0
2025,2025 UDFA,17158,0.90,3,0
2025,2024 oEXT,14104,33.28,2,0
2025,2023 3.17,16181,1.21,2,0
2025,2024 UFA,14897,21.51,3,0
2025,2025 R/F,15292,1,2,0
2025,2023 5.10,16281,1.06,2,0
2025,2023 UFA,14105,11.98,1,0
