season,salary,contractInfo,id,contractYear,conference
2025,,2025 UFA,0000,1,0
2025,2.21,2023 2.02,16167,2,0
2025,27.23,2023 UFA,11675,1,0
2025,1.10,2024 R/F,16014,1,0
2025,4.07,2023 1.08,16186,2,0
2025,1.09,2025 ERFA,15394,1,0
2025,20.57,2023 iEXT,14840,4,0
2025,1.09,2025 ERFA,14590,1,0
2025,0.94,2025 5.20,17154,4,0
2025,1,2025 R/F,13730,2,0
2025,1,2025 R/F,16012,2,0
2025,0.98,2024 5.20,16645,3,0
2025,1.14,2024 3.16,16596,3,0
2025,12.60,2025 UFA,13208,1,0
2025,24.76,2021 EXT,13589,2,0
2025,7,2025 RRFA,11222,1,0
2025,0.90,2025 UDFA,17061,3,0
2025,14.69,2025 oEXT,14153,2,0
2025,1.44,2022 3.09,15712,1,0
2025,0.90,2025 UDFA,17130,3,0
2025,1.57,2022 3.03,15858,1,0
2025,3.21,2023 1.11,16223,2,0
2025,12.50,2025 UFA,13671,1,0
2025,1,2025 R/F,10814,1,0
2025,1.43,2023 3.03,16257,2,0
2025,3.41,2025 ORFA4,13268,1,0
2025,1,2025 UFA,15911,1,0
2025,1.80,2025 UFA,13759,1,0
2025,1.03,2024 4.10,16671,3,0
2025,1.25,2025 3.08,17108,4,0
2025,3.41,2025 ORFA3,15301,2,0
2025,1.81,2023 iEXT,16414,1,0
2025,2.38,2025 UFA,15777,2,0
2025,1.10,2025 3.19,17073,4,0
2025,1.80,2025 UFA,15049,1,0
2025,1,2025 UFA,16384,1,0
2025,2.97,2024 B/R,13251,2,0
2025,1.06,2023 5.12,16255,2,0
2025,1.04,2023 5.18,16330,2,0
2025,14.37,2021 EXT,13604,1,0
2025,12.45,2025 UFA,15357,2,0
2025,1.90,2025 UFA,16723,1,0
2025,1.07,2025 4.01,17128,4,0
2025,0.90,2025 UDFA,17231,3,0
2025,4.50,2025 UFA,14217,3,0
2025,4.55,2024 iEXT,15293,4,0
2025,1.10,2025 ERFA,16846,1,0
2025,8.87,2025 NEFT,13737,1,0
2025,1.24,2023 3.14,16245,2,0
2025,1.10,2024 ERFA,14893,1,0
2025,1.98,2025 2.04,17078,4,0
2025,1.10,2024 R/F,15913,1,0
2025,2.24,2024 1.16,16594,3,0
2025,1.06,2023 5.08,16264,2,0
2025,1.09,2025 ERFA,15869,1,0
2025,1.36,2023 3.06,16164,1,0
2025,1.20,2024 3.12,16700,3,0
2025,0.90,2025 UDFA,17209,3,0
2025,1.80,2025 UFA,14933,1,0
2025,4.80,2025 UFA,15904,1,0
2025,1.09,2025 ERFA,16018,1,0
2025,1.35,2025 3.03,17069,4,0
2025,1,2025 R/F,16393,2,0
2025,1.09,2025 ERFA,13869,1,0
2025,6.75,2025 UFA,15355,2,0
2025,0.90,2025 UDFA,17076,3,0
2025,5.39,2024 iEXT,15861,3,0
2025,1.00,2024 4.19,16734,3,0
2025,5.43,2024 UFA,12686,1,0
2025,19.36,2023 UFA,14147,3,0
2025,1.90,2025 UFA,11936,2,0
2025,3.50,2025 UFA,16193,1,0
2025,4.02,2024 1.07,16641,3,0
2025,0.93,2025 5.23,17179,4,0
2025,1.18,2023 4.02,16244,2,0
2025,1.09,2024 4.01,16656,3,0
2025,1.47,2023 3.01,16256,2,0
2025,3.41,2022 2.12^,15835,1,0
2025,2.46,2024 1.14,16597,3,0
2025,6.96,2023 iEXT,14892,2,0
2025,1.10,2025 ERFA,16324,1,0
2025,0.94,2025 5.13,17058,4,0
2025,0.90,2025 UDFA,17158,3,0
2025,33.28,2024 oEXT,14104,2,0
2025,1.21,2023 3.17,16181,2,0
2025,21.51,2024 UFA,14897,3,0
2025,1,2025 R/F,15292,2,0
2025,1.06,2023 5.10,16281,2,0
2025,11.98,2023 UFA,14105,1,0
2025,1,2025 R/F,13172,2,0
2025,1.32,2023 3.09,16271,2,0
2025,1,2025 R/F,16736,2,0
2025,1.10,2025 ERFA,15872,1,0
2025,1.08,2025 3.21,17082,4,0
2025,0.90,2025 UDFA,17185,3,0
2025,19.75,2025 NEFT,12688,1,0
2025,1.18,2024 3.13,16677,3,0
2025,0.99,2024 5.01,16705,3,0
2025,0.90,2025 UDFA,17161,3,0
2025,2.23,2025 2.01,17070,4,0
2025,10.89,2024 B/R,14171,2,0
2025,24.52,2023 iEXT,14777,3,0
2025,1.47,2024 2.14,16632,3,0
2025,1,2025 R/F,13354,1,0
2025,5.40,2025 UFA,13448,1,0
2025,3.80,2025 UFA,12752,2,0
2025,5.70,2025 UFA,15418,2,0
2025,0.90,2025 UDFA,17165,3,0
2025,7,2025 RRFA,9051,1,0
2025,2.66,2023 1.14,16239,2,0
2025,1.91,2025 2.05,17123,4,0
2025,1.10,2025 ERFA,16738,1,0
2025,1.10,2025 ERFA,13718,1,0
2025,0.94,2024 UDFA,16753,2,0
2025,3.61,2025 1.09,17112,4,0
2025,0.90,2025 UDFA,17124,3,0
2025,3.00,2023 1.12,16233,2,0
2025,10,2025 RRFA,14251,1,0
2025,2.31,2023 2.01,16169,2,0
2025,42.24,2025 NEFT,15281,1,0
2025,1.24,2022 4.02,15831,1,0
2025,2.09,2024 UFA,14927,1,0
2025,1.80,2025 UFA,17269,1,0
2025,9.20,2025 UFA,13681,1,0
2025,2.70,2025 UFA,13610,1,0
2025,1.87,2024 UFA,15364,2,0
2025,4.75,2024 UFA,12739,2,0
2025,4.64,2024 iEXT,16809,5,0
2025,1.86,2025 UFA,14630,2,0
2025,2.93,2024 1.11,16617,3,0
2025,1.04,2025 4.04,17148,4,0
2025,1,2025 UFA,17303,1,0
2025,1,2025 R/F,12754,2,0
2025,42.24,2025 NEFT,15290,1,0
2025,2.64,2025 oEXT,15352,2,0
2025,1.75,2024 2.07,16665,3,0
2025,1,2025 R/F,13675,2,0
2025,1,2025 UFA,16295,1,0
2025,17.71,2025 oEXT,13146,2,0
2025,1.18,2022 4.14,15860,1,0
2025,3.41,2022 2.02^,15715,1,0
2025,1.10,2025 ERFA,13844,1,0
2025,1.80,2025 UFA,11674,1,0
2025,7,2025 B/R,12175,1,0
2025,1.44,2024 2.15,16696,3,0
2025,5.38,2024 SRFA,15484,1,0
2025,1.51,2024 2.13,16636,3,0
2025,1.35,2024 3.03,16593,3,0
2025,15.68,2024 UFA,10700,1,0
2025,0.98,2024 5.10,16640,3,0
2025,0.90,2025 UDFA,17241,3,0
2025,24.24,2024 iEXT,14225,4,0
2025,0.90,2025 UDFA,17256,3,0
2025,1.10,2024 R/F,15839,1,0
2025,0.94,2024 UDFA,16796,2,0
2025,2.62,2024 oEXT,15001,3,0
2025,3.38,2024 1.09,16581,3,0
2025,1.80,2025 UFA,14978,1,0
2025,1.10,2024 R/F,13592,1,0
2025,2.14,2025 2.02,17032,4,0
2025,1,2025 R/F,13688,2,0
2025,5.38,2024 SRFA,10768,1,0
2025,2.26,2025 oEXT,13710,1,0
2025,3.07,2024 UFA,10816,2,0
2025,1,2025 UFA,16752,1,0
2025,1.71,2022 2.15,15817,1,0
2025,1.07,2024 4.05,16603,3,0
2025,1.10,2025 ERFA,14943,1,0
2025,1.13,2024 3.17,16675,3,0
2025,2.05,2024 oEXT,15396,1,0
2025,1.80,2025 UFA,14219,1,0
2025,5.35,2022 2.09^,15821,1,0
2025,1.23,2023 3.15,16204,2,0
2025,2.71,2024 iEXT,14907,2,0
2025,0.98,2023 UDFA,16314,1,0
2025,1.07,2023 5.03,16265,2,0
2025,0.98,2023 UDFA,16278,1,0
2025,1.86,2025 UFA,15979,3,0
2025,1.80,2025 UFA,13782,1,0
2025,22.77,2024 UFA,12186,2,0
2025,1.90,2025 UFA,14903,1,0
2025,0.94,2025 5.14,17171,4,0
2025,1.10,2024 R/F,13763,1,0
2025,1,2025 R/F,12842,2,0
2025,6.77,2025 SRFA,14800,2,0
2025,1.10,2024 R/F,14472,1,0
2025,0.90,2025 UDFA,17265,3,0
2025,3.45,2022 1.12,15755,1,0
2025,4.82,2024 iEXT,15779,5,0
2025,0.98,2023 UDFA,16342,1,0
2025,1.80,2025 UFA,14823,1,0
2025,1.80,2023 2.08,16187,2,0
2025,5.20,2023 SRFA,14921,2,0
2025,1.55,2022 3.04,15851,1,0
2025,1,2025 R/F,16663,2,0
2025,3.09,2023 UFA,13697,2,0
2025,5.38,2024 SRFA,14322,1,0
2025,2.58,2025 1.14,17081,4,0
2025,1.80,2025 UFA,13404,1,0
2025,7,2025 RRFA,13806,3,0
2025,1,2025 R/F,13303,2,0
2025,2.60,2025 UFA,15681,1,0
2025,1.00,2024 4.23,16654,3,0
2025,3.08,2024 oEXT,14303,3,0
2025,1.46,2025 2.15,17144,4,0
2025,10.45,2024 oEXT,13189,2,0
2025,3.43,2024 ORFA4,14879,3,0
2025,1.10,2025 ERFA,11247,1,0
2025,1.00,2024 4.21,16595,2,0
2025,6.65,2025 UFA,15253,2,0
2025,0.95,2025 5.07,17056,4,0
2025,0.98,2023 UDFA,16351,1,0
2025,42.24,2025 NEFT,11671,1,0
2025,1.26,2025 3.07,17135,4,0
2025,1.80,2025 UFA,12860,1,0
2025,1.37,2025 3.02,17103,4,0
2025,2,2025 UFA,14137,1,0
2025,0.95,2025 5.08,17097,4,0
2025,1.09,2025 ERFA,15799,1,0
2025,1.60,2025 2.11,17107,4,0
2025,9.74,2024 iEXT,15238,5,0
2025,1.33,2024 3.04,16694,3,0
2025,1.10,2025 ERFA,13713,1,0
2025,1,2025 R/F,9064,2,0
2025,3.45,2023 1.10,16190,2,0
2025,1.10,2024 R/F,12734,1,0
2025,1,2025 R/F,8851,2,0
2025,1.19,2022 4.10,15713,1,0
2025,6.50,2025 UFA,13933,1,0
2025,1.10,2025 ERFA,12217,1,0
2025,1,2025 UFA,15032,1,0
2025,1.38,2024 3.02,16619,3,0
2025,10.00,2024 UFA,13837,2,0
2025,1,2025 R/F,13770,2,0
2025,4.12,2024 iEXT,15331,2,0
2025,1,2025 R/F,14904,2,0
2025,0.97,2025 4.19,17037,4,0
2025,0.95,2025 5.10,17099,4,0
2025,1,2025 UFA,13888,1,0
2025,7.22,2025 UFA,14224,2,0
2025,1,2025 UFA,11760,1,0
2025,17.82,2024 UFA,13198,2,0
2025,3.00,2024 iEXT,14149,2,0
2025,1,2025 UFA,14244,1,0
2025,4,2025 UFA,13672,1,0
2025,7.21,2023 1.03,16162,2,0
2025,0.98,2025 4.17,17060,4,0
2025,1,2025 UFA,15499,1,0
2025,0.94,2025 5.21,17155,4,0
2025,1.80,2025 UFA,14982,1,0
2025,1,2025 R/F,13317,2,0
2025,26.62,2023 B/R,13163,1,0
2025,8,2025 UFA,13674,1,0
2025,18.70,2024 UFA,12611,3,0
2025,2.72,2025 1.13,17075,4,0
2025,1.10,2023 4.15,16251,2,0
