season,id,franchise_id,amount,description,timestamp,ts_utc
2025,259,0001,0.51,Kendrick Bourne - 2 yrs at $1.7 mil dropped 11/14/24,1739556692,2025-02-14T18:11:32+00:00
2025,260,0004,1.55,K. Murray 2024 B/R,1739556741,2025-02-14T18:12:21+00:00
2025,261,0004,0.89,Rasul Douglas - 2 yrs at $2.95 mil dropped 12/17/24,1739556762,2025-02-14T18:12:42+00:00
2025,262,0003,0.79,B. Burns 2024 B/R,1739556799,2025-02-14T18:13:19+00:00
2025,263,0007,0.9,Jamal Adams - 2 yrs at $3.01 mil dropped 10/17/24,1739556902,2025-02-14T18:15:02+00:00
2025,264,0008,2.54,D. Carr 2024 B/R,1739556943,2025-02-14T18:15:43+00:00
2025,265,0008,1.05,Dante Stills - 3 yrs at $1.75 mil dropped 9/17/24,1739556967,2025-02-14T18:16:07+00:00
2025,266,0008,2.16,Michael Hoecht - 3 yrs at $3.6 mil dropped 10/2/24,1739556996,2025-02-14T18:16:36+00:00
2025,267,0008,1.1,Jake Camarda - 3 yrs at $1.83 mil dropped 10/29/24,1739557024,2025-02-14T18:17:04+00:00
2025,268,0008,16.16,Deebo Samuel - 3 yrs at $26.94 mil dropped 12/17/24,1739557049,2025-02-14T18:17:29+00:00
2025,269,0009,4.31,Skyy Moore - 2 yrs at $3.92 mil dropped 9/29/24 FG 2022 1.09,1739557135,2025-02-14T18:18:55+00:00
2025,270,0009,0.57,Chad Muma - 2 yrs at $1.91 mil dropped 10/23/24,1739557159,2025-02-14T18:19:19+00:00
2025,271,0010,1.01,Hendon Hooker - 3 yrs at $1.69 mil dropped 9/1/24,1739557198,2025-02-14T18:19:58+00:00
2025,272,0010,1.32,Darrick Forest - 2 yrs at $4.4 mil dropped 9/1/24,1739557219,2025-02-14T18:20:19+00:00
2025,273,0010,0.84,Luke Schoonmaker - 3 yrs at $1.4 mil dropped 9/4/24,1739557241,2025-02-14T18:20:41+00:00
2025,274,0010,0.46,John Metchie III - 2 yrs at $1.52 mil dropped 9/6/24,1739557265,2025-02-14T18:21:05+00:00
2025,275,0011,0.56,Damone Clark - 2 yrs at $1.86 mil dropped 10/9/24,1739557317,2025-02-14T18:21:57+00:00
2025,276,0012,1.52,Parris Campbell - 2 yrs at $5.05 mil dropped 9/2/24,1739557360,2025-02-14T18:22:40+00:00
2025,277,0012,0.62,James Bradberry - 2 yrs at $2.05 mil dropped 9/2/24,1739557380,2025-02-14T18:23:00+00:00
2025,278,0013,4.02,H. Landry 2024 B/R,1739557416,2025-02-14T18:23:36+00:00
2025,279,0016,3.6,C. Ridley 2024 B/R,1739557458,2025-02-14T18:24:18+00:00
2025,280,0016,0.7,Marcus Williams - 2 yrs at $2.34 mill dropped 12/18/24,1739557494,2025-02-14T18:24:54+00:00
2025,281,0017,4.19,T. McLaurin 2024 B/R,1739557572,2025-02-14T18:26:12+00:00
2025,282,0018,1.38,T.J. Watt 2024 B/R,1739557617,2025-02-14T18:26:57+00:00
2025,283,0019,3.74,Jordan Whitehead - 3 yrs at $6.24 dropped 11/26/24,1739557653,2025-02-14T18:27:33+00:00
2025,284,0021,3.42,Deshaun Watson - 2 yrs at $11.4 mil dropped 10/12/24,1739557708,2025-02-14T18:28:28+00:00
2025,285,0029,2.56,D. Watson 2024 B/R,1739557800,2025-02-14T18:30:00+00:00
2025,286,0030,2.28,Javon Hargrave - 2 yrs at $7.6 mil dropped 9/27/24,1739557837,2025-02-14T18:30:37+00:00
2025,287,0030,0.51,Arik Armstead - 2 yrs at $1.7 mil dropped 10/10/24,1739557854,2025-02-14T18:30:54+00:00
2025,288,0031,0.51,Daniel Carlson - 2 yrs at $1.7 mil dropped 11/5/24,1739557894,2025-02-14T18:31:34+00:00
2025,289,0032,1.46,T. Higgins 2024 B/R,1739557926,2025-02-14T18:32:06+00:00
2025,290,0029,11.31,DEN sends KC $11.31 cash trade 4/16,1744828507,2025-04-16T18:35:07+00:00
2025,291,0030,-11.31,DEN sends KC $11.31 cash trade 4/16,1744828507,2025-04-16T18:35:07+00:00
2025,292,0018,1.75,L. Wilson - B/R - 4/22/25,1745427477,2025-04-23T16:57:57+00:00
2025,293,0019,3.82,N. Madubuike - B/R 4/22/25,1745427477,2025-04-23T16:57:57+00:00
2025,294,0021,0.8,B. Aiyuk - B/R - 4/22/25,1745427477,2025-04-23T16:57:57+00:00
